jbc_sample_id	canonical_candidate	candidate_count	candidate_projects	candidate_field_data_ids
dbgi_438	dbgi_000438	1	jbuf	65934
dbgi_439	dbgi_000439	1	jbuf	65888
dbgi_440	dbgi_000440	1	jbuf	65893
dbgi_441	dbgi_000441	1	jbuf	65883
dbgi_442	dbgi_000442	1	jbuf	65896
dbgi_443	dbgi_000443	1	jbuf	65919
dbgi_444	dbgi_000444	1	jbuf	65963
dbgi_445	dbgi_000445	1	jbuf	65982
dbgi_446	dbgi_000446	1	jbuf	65918
dbgi_447	dbgi_000447	1	jbuf	65950
dbgi_448	dbgi_000448	1	jbuf	65945
dbgi_449	dbgi_000449	1	jbuf	65900
dbgi_450	dbgi_000450	1	jbuf	65913
dbgi_451	dbgi_000451	1	jbuf	65914
dbgi_452	dbgi_000452	1	jbuf	65921
dbgi_453	dbgi_000453	1	jbuf	65952
dbgi_454	dbgi_000454	1	jbuf	65947
dbgi_455	dbgi_000455	1	jbuf	65971
dbgi_456	dbgi_000456	1	jbuf	65956
dbgi_457	dbgi_000457	1	jbuf	65879
dbgi_458	dbgi_000458	1	jbuf	65935
dbgi_459	dbgi_000459	1	jbuf	65951
dbgi_460	dbgi_000460	1	jbuf	65884
dbgi_461	dbgi_000461	1	jbuf	65887
dbgi_462	dbgi_000462	1	jbuf	65917
dbgi_463	dbgi_000463	1	jbuf	65980
dbgi_464	dbgi_000464	1	jbuf	65976
dbgi_465	dbgi_000465	1	jbuf	65924
dbgi_466	dbgi_000466	1	jbuf	65904
dbgi_467	dbgi_000467	1	jbuf	65970
dbgi_468	dbgi_000468	1	jbuf	65929
dbgi_469	dbgi_000469	1	jbuf	65940
dbgi_470	dbgi_000470	1	jbuf	65882
dbgi_471	dbgi_000471	1	jbuf	65886
dbgi_472	dbgi_000472	1	jbuf	66019
dbgi_473	dbgi_000473	1	jbuf	65974
dbgi_474	dbgi_000474	1	jbuf	65881
dbgi_475	dbgi_000475	1	jbuf	65880
dbgi_476	dbgi_000476	1	jbuf	65885
dbgi_477	dbgi_000477	1	jbuf	65891
dbgi_478	dbgi_000478	1	jbuf	66018
