status	nonstandard_field_data_id	nonstandard_sample_id	nonstandard_taxon_name	date	latitude_rounded	longitude_rounded	canonical_match_count	canonical_field_data_ids	canonical_sample_ids	canonical_taxon_names
strict_taxon_date_location	72686	dbgi_71	Bulbinella hookeri	20250625095923	7.113079	46.03268	1	72547	dbgi_008587	Bulbinella hookeri
strict_taxon_date_location	72688	dbgi_73	Cypripedium reginae	20250625100431	7.113039	46.032684	1	72549	dbgi_008401	Cypripedium reginae
strict_taxon_date_location	72689	dbgi_74	Rhododendron carolinianum	20250625100636	7.113057	46.032677	1	72550	dbgi_008414	Rhododendron carolinianum
strict_taxon_date_location	72690	dbgi_75	Blechnum spicant	20250625100907	7.113082	46.03267	1	72551	dbgi_008436	Blechnum spicant
strict_taxon_date_location	72691	dbgi_76	Ribes spicatum	20250625103340	7.113192	46.032578	1	72552	dbgi_008430	Ribes spicatum
strict_taxon_date_location	72692	dbgi_77	Penstemon ovatus	20250625103604	7.113191	46.03257	1	72553	dbgi_008378	Penstemon ovatus
strict_taxon_date_location	72693	dbgi_78	Tsuga canadensis	20250625103817	7.113307	46.032593	1	72554	dbgi_008489	Tsuga canadensis
strict_taxon_date_location	72694	dbgi_79	Anthennaria canadensis	20250625104139	7.11333	46.032585	1	72555	dbgi_008408	Anthennaria canadensis
strict_taxon_date_location	72695	dbgi_80	Taxus baccata	20250625104344	7.11334	46.032578	1	72556	dbgi_008442	Taxus baccata
strict_taxon_date_location	72696	dbgi_81	Genista radiata	20250625104603	7.113218	46.032543	1	72557	dbgi_008650	Genista radiata
strict_taxon_date_location	72697	dbgi_82	Asphodelus albus	20250625104735	7.113292	46.03255	1	72558	dbgi_008464	Asphodelus albus
strict_taxon_date_location	72698	dbgi_83	Colutea arborescens	20250625105340	7.113236	46.032578	1	72559	dbgi_008423	Colutea arborescens
strict_taxon_date_location	72699	dbgi_84	Dianthus subacaulis	20250625110513	7.113278	46.032574	1	72560	dbgi_008640	Dianthus subacaulis
strict_taxon_date_location	72700	dbgi_85	Lithospermum intermedium	20250625110811	7.11329	46.032623	1	72561	dbgi_008754	Lithospermum intermedium
