field_data_id	sample_id	canonical_field_data_ids	canonical_sample_ids	rationale
73063	dbgi_217	73008	dbgi_006673	nonstandard row has one canonical row with same taxon/date/rounded location
73065	dbgi_219	73010	dbgi_006672	nonstandard row has one canonical row with same taxon/date/rounded location
73066	dbgi_220	73011	dbgi_006677	nonstandard row has one canonical row with same taxon/date/rounded location
73069	dbgi_223	73014	dbgi_006738	nonstandard row has one canonical row with same taxon/date/rounded location
73072	dbgi_226	73017	dbgi_006768	nonstandard row has one canonical row with same taxon/date/rounded location
73073	dbgi_227	73018	dbgi_006763	nonstandard row has one canonical row with same taxon/date/rounded location
73074	dbgi_228	73019	dbgi_006747	nonstandard row has one canonical row with same taxon/date/rounded location
73075	dbgi_229	73020	dbgi_006739	nonstandard row has one canonical row with same taxon/date/rounded location
73076	dbgi_230	73021	dbgi_006711	nonstandard row has one canonical row with same taxon/date/rounded location
73077	dbgi_231	73022	dbgi_006634	nonstandard row has one canonical row with same taxon/date/rounded location
73078	dbgi_232	73023	dbgi_006745	nonstandard row has one canonical row with same taxon/date/rounded location
73079	dbgi_233	73024	dbgi_006764	nonstandard row has one canonical row with same taxon/date/rounded location
73081	dbgi_235	73026	dbgi_006759	nonstandard row has one canonical row with same taxon/date/rounded location
73082	dbgi_236	73027	dbgi_006753	nonstandard row has one canonical row with same taxon/date/rounded location
73083	dbgi_237	73028	dbgi_006706	nonstandard row has one canonical row with same taxon/date/rounded location
73085	dbgi_239	73030	dbgi_007155	nonstandard row has one canonical row with same taxon/date/rounded location
73086	dbgi_240	73031	dbgi_007130	nonstandard row has one canonical row with same taxon/date/rounded location
73087	dbgi_241	73032	dbgi_006904	nonstandard row has one canonical row with same taxon/date/rounded location
73088	dbgi_242	73033	dbgi_006726	nonstandard row has one canonical row with same taxon/date/rounded location
73089	dbgi_243	73034	dbgi_006856	nonstandard row has one canonical row with same taxon/date/rounded location
73090	dbgi_244	73035	dbgi_006743	nonstandard row has one canonical row with same taxon/date/rounded location
73091	dbgi_245	73036	dbgi_006762	nonstandard row has one canonical row with same taxon/date/rounded location
73092	dbgi_246	73037	dbgi_006707	nonstandard row has one canonical row with same taxon/date/rounded location
73093	dbgi_247	73038	dbgi_006781	nonstandard row has one canonical row with same taxon/date/rounded location
73094	dbgi_248	73039	dbgi_006841	nonstandard row has one canonical row with same taxon/date/rounded location
73095	dbgi_249	73040	dbgi_006842	nonstandard row has one canonical row with same taxon/date/rounded location
73145	dbgi_250	72986	dbgi_006943	nonstandard row has one canonical row with same taxon/date/rounded location
73146	dbgi_251	72987	dbgi_006729	nonstandard row has one canonical row with same taxon/date/rounded location
73148	dbgi_253	72989	dbgi_006600	nonstandard row has one canonical row with same taxon/date/rounded location
73149	dbgi_254	72990	dbgi_006679	nonstandard row has one canonical row with same taxon/date/rounded location
73150	dbgi_255	72991	dbgi_006687	nonstandard row has one canonical row with same taxon/date/rounded location
73151	dbgi_256	72992	dbgi_006668	nonstandard row has one canonical row with same taxon/date/rounded location
73154	dbgi_259	72995	dbgi_006688	nonstandard row has one canonical row with same taxon/date/rounded location
73157	dbgi_262	72998	dbgi_006657	nonstandard row has one canonical row with same taxon/date/rounded location
73158	dbgi_263	72999	dbgi_006674	nonstandard row has one canonical row with same taxon/date/rounded location
73161	dbgi_266	73002	dbgi_006680	nonstandard row has one canonical row with same taxon/date/rounded location
73163	dbgi_268	73004	dbgi_006664	nonstandard row has one canonical row with same taxon/date/rounded location
73164	dbgi_269	73005	dbgi_006676	nonstandard row has one canonical row with same taxon/date/rounded location
73165	dbgi_270	73006	dbgi_006666	nonstandard row has one canonical row with same taxon/date/rounded location
73166	dbgi_271	73007	dbgi_006631	nonstandard row has one canonical row with same taxon/date/rounded location
73167	dbgi_272	73008	dbgi_006673	nonstandard row has one canonical row with same taxon/date/rounded location
73169	dbgi_274	73010	dbgi_006672	nonstandard row has one canonical row with same taxon/date/rounded location
73170	dbgi_275	73011	dbgi_006677	nonstandard row has one canonical row with same taxon/date/rounded location
73173	dbgi_278	73014	dbgi_006738	nonstandard row has one canonical row with same taxon/date/rounded location
73176	dbgi_281	73017	dbgi_006768	nonstandard row has one canonical row with same taxon/date/rounded location
73177	dbgi_282	73018	dbgi_006763	nonstandard row has one canonical row with same taxon/date/rounded location
73178	dbgi_283	73019	dbgi_006747	nonstandard row has one canonical row with same taxon/date/rounded location
73179	dbgi_284	73020	dbgi_006739	nonstandard row has one canonical row with same taxon/date/rounded location
73180	dbgi_285	73021	dbgi_006711	nonstandard row has one canonical row with same taxon/date/rounded location
73181	dbgi_286	73022	dbgi_006634	nonstandard row has one canonical row with same taxon/date/rounded location
73182	dbgi_287	73023	dbgi_006745	nonstandard row has one canonical row with same taxon/date/rounded location
73183	dbgi_288	73024	dbgi_006764	nonstandard row has one canonical row with same taxon/date/rounded location
73185	dbgi_290	73026	dbgi_006759	nonstandard row has one canonical row with same taxon/date/rounded location
