group_id	group_size	taxon_name	date	latitude_rounded	longitude_rounded	field_data_id	sample_id	collector_fullname	date_created	date_updated
128	4	dianthus seguieri	20250715090830	7.113366	46.03262	73046	dbgi_200	Émilie Lab	2025-08-12T11:52:20.259Z	2025-08-14T14:03:15.787Z
128	4	dianthus seguieri	20250715090830	7.113366	46.03262	73150	dbgi_255	Émilie Lab	2025-08-12T11:52:23.568Z	2025-08-14T14:03:19.391Z
128	4	dianthus seguieri	20250715090830	7.113366	46.03262	73275	dbgi_359	Émilie Lab	2025-08-12T11:52:27.708Z	2025-08-14T14:03:23.379Z
129	3	cotoneaster congesta	20250715091114	7.113323	46.03271	73099	dbgi_006719	Mazzarine Laboureau	2025-08-12T11:52:21.960Z	2025-08-29T12:05:02.008Z
129	3	cotoneaster congesta	20250715091114	7.113323	46.03271	73203	dbgi_308	Mazzarine Laboureau	2025-08-12T11:52:25.250Z	2025-08-14T14:03:21.068Z
129	3	cotoneaster congesta	20250715091114	7.113323	46.03271	73328	dbgi_412	Mazzarine Laboureau	2025-08-12T11:52:29.398Z	2025-08-14T14:03:25.013Z
130	3	genista germanica	20250715091345	7.113305	46.032707	73100	dbgi_007119	Mazzarine Laboureau	2025-08-12T11:52:21.991Z	2025-08-29T12:05:02.039Z
130	3	genista germanica	20250715091345	7.113305	46.032707	73204	dbgi_309	Mazzarine Laboureau	2025-08-12T11:52:25.283Z	2025-08-14T14:03:21.101Z
130	3	genista germanica	20250715091345	7.113305	46.032707	73329	dbgi_413	Mazzarine Laboureau	2025-08-12T11:52:29.429Z	2025-08-14T14:03:25.041Z
131	4	penstemon cobaea	20250715091435	7.113386	46.03275	72992	dbgi_006668	Émilie Lab	2025-08-12T11:52:18.510Z	2025-08-29T12:05:00.333Z
131	4	penstemon cobaea	20250715091435	7.113386	46.03275	73047	dbgi_201	Émilie Lab	2025-08-12T11:52:20.293Z	2025-08-14T14:03:15.820Z
131	4	penstemon cobaea	20250715091435	7.113386	46.03275	73151	dbgi_256	Émilie Lab	2025-08-12T11:52:23.597Z	2025-08-14T14:03:19.425Z
131	4	penstemon cobaea	20250715091435	7.113386	46.03275	73276	dbgi_360	Émilie Lab	2025-08-12T11:52:27.744Z	2025-08-14T14:03:23.410Z
132	3	gladiolus imbricatus	20250715091812	7.113284	46.03271	73101	dbgi_007174	Mazzarine Laboureau	2025-08-12T11:52:22.022Z	2025-08-29T12:05:02.072Z
132	3	gladiolus imbricatus	20250715091812	7.113284	46.03271	73205	dbgi_310	Mazzarine Laboureau	2025-08-12T11:52:25.313Z	2025-08-14T14:03:21.133Z
132	3	gladiolus imbricatus	20250715091812	7.113284	46.03271	73330	dbgi_414	Mazzarine Laboureau	2025-08-12T11:52:29.460Z	2025-08-14T14:03:25.067Z
133	3	armeria arenaria	20250715092118	7.113291	46.032715	73102	dbgi_007143	Mazzarine Laboureau	2025-08-12T11:52:22.055Z	2025-08-29T12:05:02.103Z
133	3	armeria arenaria	20250715092118	7.113291	46.032715	73206	dbgi_311	Mazzarine Laboureau	2025-08-12T11:52:25.346Z	2025-08-14T14:03:21.165Z
133	3	armeria arenaria	20250715092118	7.113291	46.032715	73331	dbgi_415	Mazzarine Laboureau	2025-08-12T11:52:29.489Z	2025-08-14T14:03:25.095Z
134	4	hieracium bornmuelleri	20250715092138	7.113387	46.032764	72995	dbgi_006688	Émilie Lab	2025-08-12T11:52:18.612Z	2025-08-29T12:05:00.432Z
134	4	hieracium bornmuelleri	20250715092138	7.113387	46.032764	73050	dbgi_204	Émilie Lab	2025-08-12T11:52:20.398Z	2025-08-14T14:03:15.919Z
134	4	hieracium bornmuelleri	20250715092138	7.113387	46.032764	73154	dbgi_259	Émilie Lab	2025-08-12T11:52:23.689Z	2025-08-14T14:03:19.526Z
134	4	hieracium bornmuelleri	20250715092138	7.113387	46.032764	73279	dbgi_363	Émilie Lab	2025-08-12T11:52:27.838Z	2025-08-14T14:03:23.506Z
135	3	potentilla alba	20250715092339	7.113276	46.032707	73103	dbgi_007144	Mazzarine Laboureau	2025-08-12T11:52:22.087Z	2025-08-29T12:05:02.137Z
135	3	potentilla alba	20250715092339	7.113276	46.032707	73207	dbgi_312	Mazzarine Laboureau	2025-08-12T11:52:25.380Z	2025-08-14T14:03:21.198Z
135	3	potentilla alba	20250715092339	7.113276	46.032707	73332	dbgi_416	Mazzarine Laboureau	2025-08-12T11:52:29.516Z	2025-08-14T14:03:25.121Z
136	3	cytisus nigricans	20250715092638	7.113238	46.032726	73104	dbgi_006970	Mazzarine Laboureau	2025-08-12T11:52:22.118Z	2025-08-29T12:05:02.168Z
136	3	cytisus nigricans	20250715092638	7.113238	46.032726	73208	dbgi_313	Mazzarine Laboureau	2025-08-12T11:52:25.418Z	2025-08-14T14:03:21.230Z
136	3	cytisus nigricans	20250715092638	7.113238	46.032726	73333	dbgi_417	Mazzarine Laboureau	2025-08-12T11:52:29.551Z	2025-08-14T14:03:25.149Z
137	3	potentilla speciosa	20250715092946	7.113255	46.03273	73105	dbgi_006944	Mazzarine Laboureau	2025-08-12T11:52:22.147Z	2025-08-29T12:05:02.201Z
137	3	potentilla speciosa	20250715092946	7.113255	46.03273	73209	dbgi_314	Mazzarine Laboureau	2025-08-12T11:52:25.451Z	2025-08-14T14:03:21.263Z
137	3	potentilla speciosa	20250715092946	7.113255	46.03273	73334	dbgi_418	Mazzarine Laboureau	2025-08-12T11:52:29.579Z	2025-08-14T14:03:25.176Z
138	4	calamintha menthifolia	20250715093106	7.113357	46.032753	72998	dbgi_006657	Émilie Lab	2025-08-12T11:52:18.710Z	2025-08-29T12:05:00.528Z
138	4	calamintha menthifolia	20250715093106	7.113357	46.032753	73053	dbgi_207	Émilie Lab	2025-08-12T11:52:20.504Z	2025-08-14T14:03:16.020Z
138	4	calamintha menthifolia	20250715093106	7.113357	46.032753	73157	dbgi_262	Émilie Lab	2025-08-12T11:52:23.796Z	2025-08-14T14:03:19.624Z
138	4	calamintha menthifolia	20250715093106	7.113357	46.032753	73282	dbgi_366	Émilie Lab	2025-08-12T11:52:27.928Z	2025-08-14T14:03:23.602Z
139	3	dianthus simulans	20250715093238	7.113274	46.03273	73106	dbgi_007175	Mazzarine Laboureau	2025-08-12T11:52:22.176Z	2025-08-29T12:05:02.232Z
139	3	dianthus simulans	20250715093238	7.113274	46.03273	73210	dbgi_315	Mazzarine Laboureau	2025-08-12T11:52:25.488Z	2025-08-14T14:03:21.294Z
139	3	dianthus simulans	20250715093238	7.113274	46.03273	73335	dbgi_419	Mazzarine Laboureau	2025-08-12T11:52:29.613Z	2025-08-14T14:03:25.205Z
140	4	genista germanica	20250715093444	7.113338	46.032738	72999	dbgi_006674	Émilie Lab	2025-08-12T11:52:18.743Z	2025-08-29T12:05:00.558Z
140	4	genista germanica	20250715093444	7.113338	46.032738	73054	dbgi_208	Émilie Lab	2025-08-12T11:52:20.539Z	2025-08-14T14:03:16.053Z
140	4	genista germanica	20250715093444	7.113338	46.032738	73158	dbgi_263	Émilie Lab	2025-08-12T11:52:23.825Z	2025-08-14T14:03:19.655Z
140	4	genista germanica	20250715093444	7.113338	46.032738	73283	dbgi_367	Émilie Lab	2025-08-12T11:52:27.957Z	2025-08-14T14:03:23.635Z
141	3	asclepias syriaca	20250715093654	7.113284	46.032738	73107	dbgi_006610	Mazzarine Laboureau	2025-08-12T11:52:22.213Z	2025-08-29T12:05:02.422Z
141	3	asclepias syriaca	20250715093654	7.113284	46.032738	73211	dbgi_316	Mazzarine Laboureau	2025-08-12T11:52:25.522Z	2025-08-14T14:03:21.326Z
141	3	asclepias syriaca	20250715093654	7.113284	46.032738	73336	dbgi_420	Mazzarine Laboureau	2025-08-12T11:52:29.643Z	2025-08-14T14:03:25.231Z
142	3	cytisus sessilifolius	20250715093858	7.113268	46.032738	73108	dbgi_006609	Mazzarine Laboureau	2025-08-12T11:52:22.243Z	2025-08-29T12:05:02.465Z
142	3	cytisus sessilifolius	20250715093858	7.113268	46.032738	73212	dbgi_317	Mazzarine Laboureau	2025-08-12T11:52:25.561Z	2025-08-14T14:03:21.357Z
142	3	cytisus sessilifolius	20250715093858	7.113268	46.032738	73337	dbgi_421	Mazzarine Laboureau	2025-08-12T11:52:29.682Z	2025-08-14T14:03:25.259Z
143	4	morina longifolia	20250715094212	7.113324	46.032722	73002	dbgi_006680	Émilie Lab	2025-08-12T11:52:18.841Z	2025-08-29T12:05:00.663Z
143	4	morina longifolia	20250715094212	7.113324	46.032722	73057	dbgi_211	Émilie Lab	2025-08-12T11:52:20.642Z	2025-08-14T14:03:16.153Z
143	4	morina longifolia	20250715094212	7.113324	46.032722	73161	dbgi_266	Émilie Lab	2025-08-12T11:52:23.929Z	2025-08-14T14:03:19.752Z
143	4	morina longifolia	20250715094212	7.113324	46.032722	73286	dbgi_370	Émilie Lab	2025-08-12T11:52:28.047Z	2025-08-14T14:03:23.731Z
144	4	zizia aptera	20250715094754	7.113337	46.032738	73004	dbgi_006664	Émilie Lab	2025-08-12T11:52:18.904Z	2025-08-29T12:05:00.732Z
144	4	zizia aptera	20250715094754	7.113337	46.032738	73059	dbgi_213	Émilie Lab	2025-08-12T11:52:20.708Z	2025-08-14T14:03:16.220Z
144	4	zizia aptera	20250715094754	7.113337	46.032738	73163	dbgi_268	Émilie Lab	2025-08-12T11:52:23.996Z	2025-08-14T14:03:19.816Z
144	4	zizia aptera	20250715094754	7.113337	46.032738	73288	dbgi_372	Émilie Lab	2025-08-12T11:52:28.111Z	2025-08-14T14:03:23.794Z
145	4	paeonia daurica	20250715095004	7.11335	46.03276	73005	dbgi_006676	Émilie Lab	2025-08-12T11:52:18.936Z	2025-08-29T12:05:00.765Z
145	4	paeonia daurica	20250715095004	7.11335	46.03276	73060	dbgi_214	Émilie Lab	2025-08-12T11:52:20.741Z	2025-08-14T14:03:16.252Z
145	4	paeonia daurica	20250715095004	7.11335	46.03276	73164	dbgi_269	Émilie Lab	2025-08-12T11:52:24.027Z	2025-08-14T14:03:19.850Z
145	4	paeonia daurica	20250715095004	7.11335	46.03276	73289	dbgi_373	Émilie Lab	2025-08-12T11:52:28.147Z	2025-08-14T14:03:23.826Z
146	3	prunella hyssopifolia	20250715095025	7.113195	46.032753	73111	dbgi_007150	Mazzarine Laboureau	2025-08-12T11:52:22.339Z	2025-08-29T12:05:02.570Z
146	3	prunella hyssopifolia	20250715095025	7.113195	46.032753	73215	dbgi_320	Mazzarine Laboureau	2025-08-12T11:52:25.662Z	2025-08-14T14:03:21.456Z
146	3	prunella hyssopifolia	20250715095025	7.113195	46.032753	73340	dbgi_424	Mazzarine Laboureau	2025-08-12T11:52:29.778Z	2025-08-14T14:03:25.338Z
147	4	erigeron belligifolius	20250715095224	7.11332	46.03274	73006	dbgi_006666	Émilie Lab	2025-08-12T11:52:18.970Z	2025-08-29T12:05:00.796Z
147	4	erigeron belligifolius	20250715095224	7.11332	46.03274	73061	dbgi_215	Émilie Lab	2025-08-12T11:52:20.780Z	2025-08-14T14:03:16.286Z
147	4	erigeron belligifolius	20250715095224	7.11332	46.03274	73165	dbgi_270	Émilie Lab	2025-08-12T11:52:24.056Z	2025-08-14T14:03:19.882Z
147	4	erigeron belligifolius	20250715095224	7.11332	46.03274	73290	dbgi_374	Émilie Lab	2025-08-12T11:52:28.177Z	2025-08-14T14:03:23.858Z
148	3	alchemilla conjuncta	20250715095346	7.113198	46.032764	73112	dbgi_006605	Mazzarine Laboureau	2025-08-12T11:52:22.369Z	2025-08-29T12:05:02.604Z
148	3	alchemilla conjuncta	20250715095346	7.113198	46.032764	73216	dbgi_321	Mazzarine Laboureau	2025-08-12T11:52:25.696Z	2025-08-14T14:03:21.487Z
148	3	alchemilla conjuncta	20250715095346	7.113198	46.032764	73341	dbgi_425	Mazzarine Laboureau	2025-08-12T11:52:29.811Z	2025-08-14T14:03:25.366Z
