issue	id	sample_id	sample_name	taxon_name	date	latitude	longitude	collector_fullname	date_created
invalid_sample_id	72703	dbgi_88		Eriogonum umbellatum	20250625111723	7.1132383	46.032597	Émilie Lab	2025-08-12T11:52:09.038Z
invalid_sample_id	72704	dbgi_89		Micromeria dalmatica	20250625111909	7.113258	46.0326	Émilie Lab	2025-08-12T11:52:09.073Z
invalid_sample_id	72705	dbgi_90		Globularia bisnagarica	20250625112113	7.1132865	46.032608	Émilie Lab	2025-08-12T11:52:09.111Z
invalid_sample_id	72706	dbgi_91		Dryas octopetala	20250625112303	7.1133366	46.03261	Émilie Lab	2025-08-12T11:52:09.142Z
invalid_sample_id	72707	dbgi_92		Convallaria majalis	20250625112837	7.1134853	46.032635	Émilie Lab	2025-08-12T11:52:09.175Z
invalid_sample_id	72708	dbgi_93		Colchicum autumnale	20250625113005	7.1134725	46.03267	Émilie Lab	2025-08-12T11:52:09.208Z
invalid_sample_id	72709	dbgi_94			20250625113133	7.11348	46.03264	Émilie Lab	2025-08-12T11:52:09.237Z
invalid_sample_id	72710	dbgi_95		Aegopodium podagraria	20250625113405	7.1134815	46.032627	Émilie Lab	2025-08-12T11:52:09.276Z
invalid_sample_id	72711	dbgi_96		Gentiana lutea	20250625113741	7.113484	46.032665	Émilie Lab	2025-08-12T11:52:09.306Z
invalid_sample_id	72712	dbgi_97		Rhododendron brachyanthum	20250625084052	7.1130733	46.032623	Mazzarine Laboureau	2025-08-12T11:52:09.338Z
invalid_sample_id	72713	dbgi_98		Omphalodes verna	20250625084410	7.1130652	46.032623	Mazzarine Laboureau	2025-08-12T11:52:09.370Z
invalid_sample_id	72714	dbgi_99		Androsaceae sarmentosa	20250625084610	7.11307	46.032616	Mazzarine Laboureau	2025-08-12T11:52:09.404Z
invalid_sample_id	72715	dbgi_100		Anemone sylvestris	20250625084943	7.113078	46.032627	Mazzarine Laboureau	2025-08-12T11:52:09.438Z
invalid_sample_id	72716	dbgi_101		Euphorbia chamecyparissia	20250625085140	7.1130795	46.03263	Mazzarine Laboureau	2025-08-12T11:52:09.474Z
invalid_sample_id	72717	dbgi_102		Euphorbia dulcis	20250625090337	7.113082	46.032623	Mazzarine Laboureau	2025-08-12T11:52:09.511Z
invalid_sample_id	72718	dbgi_103		Anemone nemorosa	20250625092736	7.1130877	46.03263	Mazzarine Laboureau	2025-08-12T11:52:09.546Z
invalid_sample_id	72719	dbgi_104			20250625093007	7.1130853	46.03262	Mazzarine Laboureau	2025-08-12T11:52:09.582Z
invalid_sample_id	72720	dbgi_105		Arenaria montana	20250625093307	7.113089	46.032623	Mazzarine Laboureau	2025-08-12T11:52:09.615Z
invalid_sample_id	72721	dbgi_106			20250625093423	7.1130934	46.032623	Mazzarine Laboureau	2025-08-12T11:52:09.647Z
invalid_sample_id	72722	dbgi_107			20250625093736	7.1130924	46.03262	Mazzarine Laboureau	2025-08-12T11:52:09.676Z
invalid_sample_id	72723	dbgi_108		Picea abies	20250625094008	7.1130595	46.03262	Mazzarine Laboureau	2025-08-12T11:52:09.712Z
invalid_sample_id	72724	dbgi_109		Saxifraga paniculata	20250625094318	7.11305	46.03262	Mazzarine Laboureau	2025-08-12T11:52:09.741Z
invalid_sample_id	72725	dbgi_110		Rhododendron ferrugineum	20250625094551	7.1130586	46.032627	Mazzarine Laboureau	2025-08-12T11:52:09.775Z
invalid_sample_id	72726	dbgi_111		Camassia leichtlinii	20250625094719	7.1130505	46.032627	Mazzarine Laboureau	2025-08-12T11:52:09.807Z
invalid_sample_id	72727	dbgi_112		Saxifraga lingulata	20250625094953	7.1130433	46.032627	Mazzarine Laboureau	2025-08-12T11:52:09.842Z
invalid_sample_id	72728	dbgi_113		Saxifraga franzii	20250625095116	7.1130385	46.032627	Mazzarine Laboureau	2025-08-12T11:52:09.877Z
invalid_sample_id	72729	dbgi_114		Rhodothamnus chamaecistus	20250625095457	7.113063	46.03264	Mazzarine Laboureau	2025-08-12T11:52:09.911Z
invalid_sample_id	72730	dbgi_115		Cassiope mertensiana	20250625095809	7.1130533	46.03263	Mazzarine Laboureau	2025-08-12T11:52:09.941Z
invalid_sample_id	72731	dbgi_116		Fritillaria pyrenaica	20250625100205	7.1130576	46.032642	Mazzarine Laboureau	2025-08-12T11:52:09.971Z
invalid_sample_id	72732	dbgi_117		Cypripedium calceolus	20250625100533	7.113048	46.032646	Mazzarine Laboureau	2025-08-12T11:52:10.008Z
invalid_sample_id	72733	dbgi_118		Saxifraga pseudo-kotschyl,	20250625100717	7.11304	46.032646	Mazzarine Laboureau	2025-08-12T11:52:10.037Z
