project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	issue
jbp	74231	dbgi_009883	canonical	dbgi_009883	Thalictrum flavum			Thalictrum flavum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818123855	14.414769	50.119644	out_of_ch_range	
jbp	74232	dbgi_009834	canonical	dbgi_009834	Thalictrum flavum			Thalictrum flavum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124025	14.414769	50.119644	out_of_ch_range	
jbp	74233	dbgi_009907	canonical	dbgi_009907	Thalictrum simplex			Thalictrum simplex	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124317	14.414782	50.119705	out_of_ch_range	
jbp	74234	dbgi_009847	canonical	dbgi_009847	Thalictrum simplex			Thalictrum simplex	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124537	14.414782	50.119705	out_of_ch_range	
jbp	74235	dbgi_009861	canonical	dbgi_009861	Thalictrum lucidum			Thalictrum lucidum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124714	14.414753	50.119686	out_of_ch_range	
jbp	74236	dbgi_009885	canonical	dbgi_009885	Thalictrum lucidum			Thalictrum lucidum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818124821	14.414753	50.119686	out_of_ch_range	
jbp	74237	dbgi_009829	canonical	dbgi_009829	Aconitum variegatum			Aconitum variegatum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818144832	14.419825	50.123386	out_of_ch_range	
jbp	74238	dbgi_009886	canonical	dbgi_009886	Aconitum variegatum			Aconitum variegatum	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818145048	14.419825	50.123386	out_of_ch_range	
jbp	74239	dbgi_009889	canonical	dbgi_009889				Spiraea japonica ‘Gold Frame’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818130549	14.41538	50.121643	out_of_ch_range	
jbp	74240	dbgi_009843	canonical	dbgi_009843				Spiraea japonica ‘Gold Frame’	name_proposition	resolved_from_fallback_taxon_field	name_proposition		20250818131008	14.41538	50.121643	out_of_ch_range	
jbp	74241	dbgi_009865	canonical	dbgi_009865	Spiraea nipponica			Spiraea nipponica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250818132021	14.415343	50.12161	out_of_ch_range	
