project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	lineage_status	issue
jbp-new	76387	dbgi_012625	canonical	dbgi_012625	Cicuta maculata		Cicuta maculata	Cicuta maculata	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702144654	14.412077	50.121693	out_of_ch_range	false	true	false	false		dbgi_012625_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76389	dbgi_012561	canonical	dbgi_012561	Saxifraga aizoides		Saxifraga aizoides	Saxifraga aizoides	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702145635	14.412068	50.121704	out_of_ch_range	false	true	false	false		dbgi_012561_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76390	dbgi_012616	canonical	dbgi_012616	Saxifraga aizoides		Saxifraga aizoides	Saxifraga aizoides	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702145938	14.412068	50.121704	out_of_ch_range	false	true	false	false		dbgi_012616_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76391	dbgi_012526	canonical	dbgi_012526	Saxifraga paniculata		Saxifraga paniculata	Saxifraga paniculata	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702150216	14.412072	50.121716	out_of_ch_range	false	true	false	false		dbgi_012526_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76392	dbgi_012543	canonical	dbgi_012543	Saxifraga paniculata		Saxifraga paniculata	Saxifraga paniculata	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702150443	14.412072	50.121716	out_of_ch_range	false	true	false	false		dbgi_012543_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76393	dbgi_012603	canonical	dbgi_012603	Saxifraga sp.		Saxifraga sp.	Saxifraga sp.	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical	taxon_name_final=Saxifraga sp.;taxon_name=Saxifraga sp.;MatchedCanonical=Saxifraga	20260702150711	14.4120455	50.12171	out_of_ch_range	false	true	false	false		dbgi_012603_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76394	dbgi_012614	canonical	dbgi_012614	Oenanthe silaifolia		Oenanthe silaifolia	Oenanthe silaifolia	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702150855	14.412039	50.121696	out_of_ch_range	false	true	false	false		dbgi_012614_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76396	dbgi_012551	canonical	dbgi_012551	Oenanthe silaifolia		Oenanthe silaifolia	Oenanthe silaifolia	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702151215	14.412039	50.121696	out_of_ch_range	false	true	false	false		dbgi_012551_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76397	dbgi_012542	canonical	dbgi_012542	Narthecium ossifragum		Narthecium ossifragum	Narthecium ossifragum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702151425	14.412045	50.121685	out_of_ch_range	false	true	false	false		dbgi_012542_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76398	dbgi_012605	canonical	dbgi_012605	"Thesium 
linophyllon"		"Thesium 
linophyllon"	"Thesium 
linophyllon"	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702151626	14.41201	50.12169	out_of_ch_range	false	true	false	false		dbgi_012605_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76399	dbgi_012635	canonical	dbgi_012635	"Thesium 
linophyllon"		"Thesium 
linophyllon"	"Thesium 
linophyllon"	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702151901	14.41201	50.12169	out_of_ch_range	false	true	false	false		dbgi_012635_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76400	dbgi_012669	canonical	dbgi_012669	Groenlandia densa		Groenlandia densa	Groenlandia densa	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702152411	14.412016	50.1217	out_of_ch_range	false	true	true	false		dbgi_012669_01	no_dried_link;no_ms	downstream_lineage_without_dried_link
jbp-new	76401	dbgi_012404	canonical	dbgi_012404	Groenlandia densa		Groenlandia densa	Groenlandia densa	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702152623	14.412011	50.12169	out_of_ch_range	false	true	false	false		dbgi_012404_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76403	dbgi_012630	canonical	dbgi_012630	Coriaria japonica		Coriaria japonica	Coriaria japonica	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702153440	14.412037	50.121727	out_of_ch_range	false	true	true	false		dbgi_012630_01	no_dried_link;no_ms	downstream_lineage_without_dried_link
jbp-new	76406	dbgi_012274	canonical	dbgi_012274	Carex shimidzensis		Carex shimidzensis	Carex shimidzensis	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702154147	14.412026	50.121708	out_of_ch_range	false	true	false	false		dbgi_012274_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76407	dbgi_012644	canonical	dbgi_012644	Carex shimidzensis		Carex shimidzensis	Carex shimidzensis	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702154320	14.412026	50.121708	out_of_ch_range	false	true	false	false		dbgi_012644_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76408	dbgi_012705	canonical	dbgi_012705	Carex pulicaris		Carex pulicaris	Carex pulicaris	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702154814	14.412062	50.121727	out_of_ch_range	false	true	false	false		dbgi_012705_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76409	dbgi_012691	canonical	dbgi_012691	Carex pulicaris		Carex pulicaris	Carex pulicaris	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702155012	14.412062	50.121727	out_of_ch_range	false	true	false	false		dbgi_012691_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76411	dbgi_012628	canonical	dbgi_012628	Poa crassipes		Poa crassipes	Poa crassipes	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702160139	14.412048	50.12174	out_of_ch_range	false	true	false	false		dbgi_012628_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76412	dbgi_012687	canonical	dbgi_012687	Danthonia alpina		Danthonia alpina	Danthonia alpina	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702160338	14.412058	50.121746	out_of_ch_range	false	true	false	false		dbgi_012687_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76413	dbgi_012699	canonical	dbgi_012699	Danthonia alpina		Danthonia alpina	Danthonia alpina	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702160545	14.412058	50.121746	out_of_ch_range	false	true	false	false		dbgi_012699_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76414	dbgi_012359	canonical	dbgi_012359	Koeleria glauca		Koeleria glauca	Koeleria glauca	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702160727	14.412077	50.121735	out_of_ch_range	false	true	false	false		dbgi_012359_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76415	dbgi_012401	canonical	dbgi_012401	Poa badensis		Poa badensis	Poa badensis	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702161210	14.412091	50.121716	out_of_ch_range	false	true	true	false		dbgi_012401_01	no_dried_link;no_ms	downstream_lineage_without_dried_link
jbp-new	76416	dbgi_012708	canonical	dbgi_012708	Carex atrata		Carex atrata	Carex atrata	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702161431	14.412087	50.121708	out_of_ch_range	false	true	false	false		dbgi_012708_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76417	dbgi_012527	canonical	dbgi_012527	Potamogeton perfoliatus		Potamogeton perfoliatus	Potamogeton perfoliatus	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702161735	14.412104	50.12173	out_of_ch_range	false	true	false	false		dbgi_012527_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76418	dbgi_012336	canonical	dbgi_012336	Potamogeton perfoliatus		Potamogeton perfoliatus	Potamogeton perfoliatus	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702162621	14.412127	50.121723	out_of_ch_range	false	true	false	false		dbgi_012336_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76419	dbgi_012629	canonical	dbgi_012629	Potamogeton perfoliatus		Potamogeton perfoliatus	Potamogeton perfoliatus	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702162830	14.412127	50.121723	out_of_ch_range	false	true	false	false		dbgi_012629_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76420	dbgi_012278	canonical	dbgi_012278	Apium repens		Apium repens	Apium repens	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702163139	14.41211	50.1217	out_of_ch_range	false	true	false	false		dbgi_012278_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76421	dbgi_012665	canonical	dbgi_012665	Apium repens		Apium repens	Apium repens	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702163425	14.41211	50.1217	out_of_ch_range	false	true	false	false		dbgi_012665_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76422	dbgi_012262	canonical	dbgi_012262	Apium repens		Apium repens	Apium repens	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702163809	14.41211	50.1217	out_of_ch_range	false	true	false	false		dbgi_012262_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76423	dbgi_012636	canonical	dbgi_012636	Carex distans		Carex distans	Carex distans	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702164041	14.412039	50.12167	out_of_ch_range	false	true	false	false		dbgi_012636_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76424	dbgi_012684	canonical	dbgi_012684	Carex distans		Carex distans	Carex distans	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702164259	14.412039	50.12167	out_of_ch_range	false	true	false	false		dbgi_012684_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76425	dbgi_012634	canonical	dbgi_012634	Carex otrubae		Carex otrubae	Carex otrubae	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702164521	14.412062	50.12167	out_of_ch_range	false	true	false	false		dbgi_012634_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76426	dbgi_012661	canonical	dbgi_012661	Carex otrubae		Carex otrubae	Carex otrubae	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702164650	14.412062	50.12167	out_of_ch_range	false	true	false	false		dbgi_012661_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76427	dbgi_012657	canonical	dbgi_012657	Carex otrubae		Carex otrubae	Carex otrubae	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;MatchedCanonical		20260702164827	14.412062	50.12167	out_of_ch_range	false	true	false	false		dbgi_012657_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76430	dbgi_012690	canonical	dbgi_012690	Lolium temulentum		Lolium temulentum	Lolium temulentum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702165749	14.41208	50.121677	out_of_ch_range	false	true	false	false		dbgi_012690_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
jbp-new	76431	dbgi_012643	canonical	dbgi_012643	Lolium temulentum		Lolium temulentum	Lolium temulentum	taxon_name_final	resolved_from_primary_taxon_field	taxon_name_final;taxon_name;name_proposition		20260702170006	14.41208	50.121677	out_of_ch_range	false	true	false	false		dbgi_012643_01	no_dried_link;no_aliquot;no_ms	downstream_lineage_without_dried_link
