project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
chemical_ecology	69928	chec_000019	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414114442	6.903578	46.981388	looks_swapped_ch_lat_lon	46.981388	6.903578	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69929	chec_000238	canonical		Plantago lanceolata			Plantago lanceolata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414115304	6.904032	46.98098	looks_swapped_ch_lat_lon	46.98098	6.904032	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69930	chec_000076	canonical		Plantago lanceolata			Plantago lanceolata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414115643	6.903899	46.98044	looks_swapped_ch_lat_lon	46.98044	6.903899	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69931	chec_000136	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414120310	6.9038696	46.9802	looks_swapped_ch_lat_lon	46.9802	6.9038696	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69932	chec_000213	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414120934	6.9051366	46.98057	looks_swapped_ch_lat_lon	46.98057	6.9051366	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69933	chec_000079	canonical		Bellis perennis			Bellis perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414121656	6.906717	46.980766	looks_swapped_ch_lat_lon	46.980766	6.906717	coordinates_look_swapped_ch_lat_lon
chemical_ecology	69934	chec_000094	canonical		Plantago lanceolata			Plantago lanceolata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414122220	6.906277	46.980694	looks_swapped_ch_lat_lon	46.980694	6.906277	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70144	chec_000116	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414181004	6.8055477	47.092403	looks_swapped_ch_lat_lon	47.092403	6.8055477	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70145	chec_000036	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414172215	6.928053	46.991653	looks_swapped_ch_lat_lon	46.991653	6.928053	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70146	chec_000042	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414172945	6.927118	46.991665	looks_swapped_ch_lat_lon	46.991665	6.927118	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70147	chec_000038	canonical		Taraxacum officinale			Taraxacum officinale	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414174535	6.9259667	46.99202	looks_swapped_ch_lat_lon	46.99202	6.9259667	coordinates_look_swapped_ch_lat_lon
chemical_ecology	70148	chec_000037	canonical		Plantago lanceolata			Plantago lanceolata	taxon_name	resolved_from_primary_taxon_field	taxon_name		20250414180430	6.9247904	46.991837	looks_swapped_ch_lat_lon	46.991837	6.9247904	coordinates_look_swapped_ch_lat_lon
