project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
jbp-new	75998	dbgi_012346	canonical	dbgi_012346	Dicksonia squarrosa		Dicksonia squarrosa	20260528150526	14.418686	50.12416	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	75999	dbgi_012294	canonical	dbgi_012294	Dicksonia squarrosa		Dicksonia squarrosa	20260528150731	14.418686	50.12416	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76000	dbgi_012334	canonical	dbgi_012334	Omphalodes verna		Omphalodes verna	20260528151421	14.418798	50.12405	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76001	dbgi_012276	canonical	dbgi_012276	Omphalodes verna		Omphalodes verna	20260528151617	14.418798	50.12405	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76002	dbgi_011961	canonical	dbgi_011961	Omphalodes verna		Omphalodes verna	20260528151826	14.418765	50.12404	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76003	dbgi_012199	canonical	dbgi_012199	Dioscorea sansibariensis		Dioscorea sansibariensis	20260528132316	14.412449	50.121952	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76004	dbgi_012217	canonical	dbgi_012217	Dioscorea sansibariensis		Dioscorea sansibariensis	20260528132517	14.412491	50.121834	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76005	dbgi_012173	canonical	dbgi_012173	Dioscorea sansibariensis		Dioscorea sansibariensis	20260528132650	14.412495	50.121815	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76006	dbgi_012129	canonical	dbgi_012129	Dioscorea sansibariensis		Dioscorea sansibariensis	20260528132838	14.412381	50.121872	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76007	dbgi_012117	canonical	dbgi_012117	Curcuma petiolata		Curcuma petiolata	20260528133052	14.412493	50.12183	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76008	dbgi_012191	canonical	dbgi_012191	Curcuma petiolata		Curcuma petiolata	20260528133539	14.412354	50.121815	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76009	dbgi_012176	canonical	dbgi_012176	Curcuma petiolata		Curcuma petiolata	20260528133720	14.412389	50.12185	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76010	dbgi_012172	canonical	dbgi_012172	Passiflora coriacea		Passiflora coriacea	20260528134158	14.4123335	50.12188	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76011	dbgi_012203	canonical	dbgi_012203	Passiflora coriacea		Passiflora coriacea	20260528134441	14.412344	50.121887	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76012	dbgi_012198	canonical	dbgi_012198	Passiflora coriacea		Passiflora coriacea	20260528134733	14.412322	50.12191	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76013	dbgi_012333	canonical	dbgi_012333	Passiflora coriacea		Passiflora coriacea	20260528134953	14.412417	50.121845	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76014	dbgi_012269	canonical	dbgi_012269	Passiflora citrina		Passiflora citrina	20260528135129	14.41235	50.121834	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76015	dbgi_012205	canonical	dbgi_012205	Passiflora citrina		Passiflora citrina	20260528135320	14.412325	50.1219	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76016	dbgi_012337	canonical	dbgi_012337	Passiflora citrina		Passiflora citrina	20260528135520	14.412362	50.121906	out_of_ch_range	coordinates_out_of_ch_range
jbp-new	76017	dbgi_012220	canonical	dbgi_012220	Moringa oleifera		Moringa oleifera	20260528135659	14.412427	50.12196	out_of_ch_range	coordinates_out_of_ch_range
