project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	unified_taxon_name	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	date	latitude	longitude	coordinate_status	suggested_latitude	suggested_longitude	issue
bioblitz_vinesch	67642	vine_000372	canonical		Lepidoptera			Lepidoptera	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608121147	7.8748493	46.261528	looks_swapped_ch_lat_lon	46.261528	7.8748493	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67643	vine_000177	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123637	7.874565	46.261593	looks_swapped_ch_lat_lon	46.261593	7.874565	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67644	vine_000234	canonical		Poaceae			Poaceae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608124125	7.874591	46.261578	looks_swapped_ch_lat_lon	46.261578	7.874591	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67645	vine_000256	canonical		Coleoptera			Coleoptera	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608124559	7.8745804	46.261566	looks_swapped_ch_lat_lon	46.261566	7.8745804	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67646	vine_000244	canonical		Heteroptera			Heteroptera	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125029	7.8745866	46.261555	looks_swapped_ch_lat_lon	46.261555	7.8745866	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67647	vine_000170	canonical		Angiospermae			Angiospermae	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608125414	7.8745875	46.261593	looks_swapped_ch_lat_lon	46.261593	7.8745875	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67648	vine_000473	canonical		Saponaria ocymoides			Saponaria ocymoides	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608122016	7.874591	46.261475	looks_swapped_ch_lat_lon	46.261475	7.874591	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67649	vine_000467	canonical		Insecta			Insecta	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123122	7.874572	46.261482	looks_swapped_ch_lat_lon	46.261482	7.874572	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67650	vine_000469	canonical		Lactuca perennis			Lactuca perennis	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608123535	7.874572	46.261482	looks_swapped_ch_lat_lon	46.261482	7.874572	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67651	vine_000465	canonical		Veronica persica			Veronica persica	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608124209	7.8745785	46.26149	looks_swapped_ch_lat_lon	46.26149	7.8745785	coordinates_look_swapped_ch_lat_lon
bioblitz_vinesch	67652	vine_000475	canonical		Linaria angustissima			Linaria angustissima	taxon_name	resolved_from_primary_taxon_field	taxon_name		20240608124704	7.8745785	46.26149	looks_swapped_ch_lat_lon	46.26149	7.8745785	coordinates_look_swapped_ch_lat_lon
