group_id	group_size	fingerprint	project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status
96	4	jbc||20250715094018|7.113326|46.032734	jbc	73160	dbgi_265	short_numeric_suffix	dbgi_000265				20250715094018	7.113326	46.032734	looks_swapped_ch_lat_lon
96	4	jbc||20250715094018|7.113326|46.032734	jbc	73285	dbgi_369	short_numeric_suffix	dbgi_000369				20250715094018	7.113326	46.032734	looks_swapped_ch_lat_lon
97	3	jbc||20250715094307|7.113241|46.032734	jbc	73109	dbgi_006596	canonical	dbgi_006596				20250715094307	7.1132407	46.032734	looks_swapped_ch_lat_lon
97	3	jbc||20250715094307|7.113241|46.032734	jbc	73213	dbgi_318	short_numeric_suffix	dbgi_000318				20250715094307	7.1132407	46.032734	looks_swapped_ch_lat_lon
97	3	jbc||20250715094307|7.113241|46.032734	jbc	73338	dbgi_422	short_numeric_suffix	dbgi_000422				20250715094307	7.1132407	46.032734	looks_swapped_ch_lat_lon
98	4	jbc||20250715094350|7.113327|46.032726	jbc	73003	dbgi_006682	canonical	dbgi_006682				20250715094350	7.1133275	46.032726	looks_swapped_ch_lat_lon
98	4	jbc||20250715094350|7.113327|46.032726	jbc	73058	dbgi_212	short_numeric_suffix	dbgi_000212				20250715094350	7.1133275	46.032726	looks_swapped_ch_lat_lon
98	4	jbc||20250715094350|7.113327|46.032726	jbc	73162	dbgi_267	short_numeric_suffix	dbgi_000267				20250715094350	7.1133275	46.032726	looks_swapped_ch_lat_lon
98	4	jbc||20250715094350|7.113327|46.032726	jbc	73287	dbgi_371	short_numeric_suffix	dbgi_000371				20250715094350	7.1133275	46.032726	looks_swapped_ch_lat_lon
99	3	jbc||20250715094618|7.113209|46.03276	jbc	73110	dbgi_006740	canonical	dbgi_006740				20250715094618	7.1132092	46.03276	looks_swapped_ch_lat_lon
99	3	jbc||20250715094618|7.113209|46.03276	jbc	73214	dbgi_319	short_numeric_suffix	dbgi_000319				20250715094618	7.1132092	46.03276	looks_swapped_ch_lat_lon
99	3	jbc||20250715094618|7.113209|46.03276	jbc	73339	dbgi_423	short_numeric_suffix	dbgi_000423				20250715094618	7.1132092	46.03276	looks_swapped_ch_lat_lon
100	4	jbc||20250715095827|7.113328|46.032745	jbc	73009	dbgi_006685	canonical	dbgi_006685				20250715095827	7.113328	46.032745	looks_swapped_ch_lat_lon
100	4	jbc||20250715095827|7.113328|46.032745	jbc	73064	dbgi_218	short_numeric_suffix	dbgi_000218				20250715095827	7.113328	46.032745	looks_swapped_ch_lat_lon
100	4	jbc||20250715095827|7.113328|46.032745	jbc	73168	dbgi_273	short_numeric_suffix	dbgi_000273				20250715095827	7.113328	46.032745	looks_swapped_ch_lat_lon
100	4	jbc||20250715095827|7.113328|46.032745	jbc	73293	dbgi_377	short_numeric_suffix	dbgi_000377				20250715095827	7.113328	46.032745	looks_swapped_ch_lat_lon
101	3	jbc||20250715101416|7.113182|46.032715	jbc	73117	dbgi_008550	canonical	dbgi_008550				20250715101416	7.1131816	46.032715	looks_swapped_ch_lat_lon
101	3	jbc||20250715101416|7.113182|46.032715	jbc	73221	dbgi_326	short_numeric_suffix	dbgi_000326				20250715101416	7.1131816	46.032715	looks_swapped_ch_lat_lon
101	3	jbc||20250715101416|7.113182|46.032715	jbc	73346	dbgi_430	short_numeric_suffix	dbgi_000430				20250715101416	7.1131816	46.032715	looks_swapped_ch_lat_lon
102	4	jbc||20250715101449|7.113327|46.03275	jbc	73012	dbgi_006744	canonical	dbgi_006744				20250715101449	7.1133265	46.03275	looks_swapped_ch_lat_lon
102	4	jbc||20250715101449|7.113327|46.03275	jbc	73067	dbgi_221	short_numeric_suffix	dbgi_000221				20250715101449	7.1133265	46.03275	looks_swapped_ch_lat_lon
102	4	jbc||20250715101449|7.113327|46.03275	jbc	73171	dbgi_276	short_numeric_suffix	dbgi_000276				20250715101449	7.1133265	46.03275	looks_swapped_ch_lat_lon
102	4	jbc||20250715101449|7.113327|46.03275	jbc	73296	dbgi_380	short_numeric_suffix	dbgi_000380				20250715101449	7.1133265	46.03275	looks_swapped_ch_lat_lon
103	4	jbc||20250715101810|7.113307|46.032757	jbc	73013	dbgi_006716	canonical	dbgi_006716				20250715101810	7.113307	46.032757	looks_swapped_ch_lat_lon
103	4	jbc||20250715101810|7.113307|46.032757	jbc	73068	dbgi_222	short_numeric_suffix	dbgi_000222				20250715101810	7.113307	46.032757	looks_swapped_ch_lat_lon
103	4	jbc||20250715101810|7.113307|46.032757	jbc	73172	dbgi_277	short_numeric_suffix	dbgi_000277				20250715101810	7.113307	46.032757	looks_swapped_ch_lat_lon
103	4	jbc||20250715101810|7.113307|46.032757	jbc	73297	dbgi_381	short_numeric_suffix	dbgi_000381				20250715101810	7.113307	46.032757	looks_swapped_ch_lat_lon
104	4	jbc||20250715102327|7.113308|46.03277	jbc	73015	dbgi_006758	canonical	dbgi_006758				20250715102327	7.1133075	46.03277	looks_swapped_ch_lat_lon
104	4	jbc||20250715102327|7.113308|46.03277	jbc	73070	dbgi_224	short_numeric_suffix	dbgi_000224				20250715102327	7.1133075	46.03277	looks_swapped_ch_lat_lon
104	4	jbc||20250715102327|7.113308|46.03277	jbc	73174	dbgi_279	short_numeric_suffix	dbgi_000279				20250715102327	7.1133075	46.03277	looks_swapped_ch_lat_lon
104	4	jbc||20250715102327|7.113308|46.03277	jbc	73299	dbgi_383	short_numeric_suffix	dbgi_000383				20250715102327	7.1133075	46.03277	looks_swapped_ch_lat_lon
105	4	jbc||20250715102612|7.113289|46.03276	jbc	73016	dbgi_008668	canonical	dbgi_008668				20250715102612	7.113289	46.03276	looks_swapped_ch_lat_lon
