"Filename","Extension","Localisation.in.Sciex.OS.project","Rack","Plate.position","Comment","sample_id","latitude","x_coord","y_coord","date_updated","user_created","id","date_created","longitude","collector_fullname","observation_subject","inat_upload","is_wild","taxon_name","no_name_on_list","picture_panel","picture_general","picture_detail","picture_cut","picture_panel_label","collector_orcid","collector_inat","qfield_project","name_proposition","ipen","date","geometry.type","geometry.coordinates"
"20261703_Mazz_Sample_drog_000052_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000052_01",2,"B1","plate 2","drog_000052",NA,NA,NA,"2026-07-21T12:11:38.686Z","053e0368-4ed8-4569-a070-81a22ad13957",74360,"2026-01-29T15:12:39.282Z",NA,"Emmanuel Defossez","Leaf",0,1,"",1,"DCIM/droguier_jbn/Mentha x piperita_drog_000052_01.jpg","DCIM/droguier_jbn/Mentha x piperita_drog_000052_02.jpg","DCIM/droguier_jbn/Mentha x piperita_drog_000052_03.jpg","DCIM/droguier_jbn/Mentha x piperita_drog_000052_04.jpg","DCIM/droguier_jbn/Mentha x piperita_drog_000052_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Mentha x piperita",NA,20260123112036,"",""
"20261703_Mazz_Sample_drog_000578_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000578_01",2,"B2","plate 2","drog_000578",NA,NA,NA,"2026-07-21T12:50:37.883Z","053e0368-4ed8-4569-a070-81a22ad13957",74370,"2026-01-29T15:12:39.734Z",NA,"Emmanuel Defossez","Leaf",0,1,"Thymus_serpyllum_L",0,"DCIM/droguier_jbn/Thymus_serpyllum_L_drog_000578_01.jpg","DCIM/droguier_jbn/Thymus_serpyllum_L_drog_000513_02.jpg","DCIM/droguier_jbn/Thymus_serpyllum_L_drog_000578_03.jpg","DCIM/droguier_jbn/Thymus_serpyllum_L_drog_000578_04.jpg","DCIM/droguier_jbn/Thymus_serpyllum_L_drog_000578_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260123114150,"",""
"20261703_Mazz_Sample_drog_000018_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000018_01",2,"B3","plate 2","drog_000018",6.9346695,6.9346695,47.000256,"2026-07-21T12:11:40.901Z","053e0368-4ed8-4569-a070-81a22ad13957",74494,"2026-01-29T15:12:44.965Z",47.000256,"Emmanuel Defossez","Leaf",1,1,"",1,"DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000018_01.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000018_02.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000018_03.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000018_04.jpg","DCIM/droguier_jbn/Arctostaphylos uva-ursi_drog_000018_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Arctostaphylos uva-ursi",NA,20260113105456,"Point","[6.934669414124378,47.00025577442101]"
"20261703_Mazz_Sample_drog_000034_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000034_01",2,"B4","plate 2","drog_000034",6.9343843,6.9343843,47.000084,"2026-07-21T12:11:41.295Z","053e0368-4ed8-4569-a070-81a22ad13957",74510,"2026-01-29T15:12:45.391Z",47.000084,"Emmanuel Defossez","Root",1,0,"",1,"DCIM/droguier_jbn/Glycyrrhiza glabra L._drog_000034_01.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra L._drog_000034_02.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra L._drog_000034_03.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra L._drog_000034_04.jpg","DCIM/droguier_jbn/Glycyrrhiza glabra L._drog_000034_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Glycyrrhiza glabra L.",NA,20260113114455,"Point","[6.934384509295905,47.000084404877065]"
"20261703_Mazz_Sample_drog_000258_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000258_01",2,"B5","plate 2","drog_000258",NA,NA,NA,"2026-07-21T12:50:39.739Z","053e0368-4ed8-4569-a070-81a22ad13957",74710,"2026-01-29T15:12:53.893Z",NA,"Emmanuel Defossez","Seed",0,1,"Foeniculum_vulgare_MilL",0,"DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000258_01.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000258_02.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000258_03.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000258_04.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000258_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260121142248,"",""
"20261703_Mazz_Sample_drog_000408_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000408_01",2,"B6","plate 2","drog_000408",NA,NA,NA,"2026-07-21T12:50:40.778Z","053e0368-4ed8-4569-a070-81a22ad13957",74758,"2026-01-29T15:12:55.885Z",NA,"Emmanuel Defossez","Stems",1,1,"Juniperus_communis_L",0,"DCIM/droguier_jbn/Juniperus_communis_L_drog_000408_01.jpg","DCIM/droguier_jbn/Juniperus_communis_L_drog_000418_02.jpg","DCIM/droguier_jbn/Juniperus_communis_L_drog_000408_03.jpg","DCIM/droguier_jbn/Juniperus_communis_L_drog_000408_04.jpg","DCIM/droguier_jbn/Juniperus_communis_L_drog_000408_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260126141714,"",""
"20261703_Mazz_Sample_drog_000014_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000014_01",2,"B7","plate 2","drog_000014",6.9344945,6.9344945,47.000053,"2026-07-21T12:11:40.788Z","053e0368-4ed8-4569-a070-81a22ad13957",74490,"2026-01-29T15:12:44.812Z",47.000053,"Emmanuel Defossez","Stems",1,1,"",1,"DCIM/droguier_jbn/Equisetum arvense L._drog_000014_01.jpg","DCIM/droguier_jbn/Equisetum arvense L._drog_000014_02.jpg","DCIM/droguier_jbn/Equisetum arvense L._drog_000014_03.jpg","DCIM/droguier_jbn/Equisetum arvense L._drog_000014_04.jpg","DCIM/droguier_jbn/Equisetum arvense L._drog_000014_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","Equisetum arvense L.",NA,20260112164355,"Point","[6.934494394254939,47.00005522768051]"
"20261703_Mazz_Sample_drog_000276_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000276_01",2,"B8","plate 2","drog_000276",NA,NA,NA,"2026-07-21T12:50:39.820Z","053e0368-4ed8-4569-a070-81a22ad13957",74714,"2026-01-29T15:12:54.116Z",NA,"Emmanuel Defossez","Seed",0,1,"Foeniculum_vulgare_MilL",0,"DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000276_01.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000276_02.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000276_03.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000276_04.jpg","DCIM/droguier_jbn/Foeniculum_vulgare_MilL_drog_000276_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260121143514,"",""
"20261703_Mazz_Sample_drog_000008_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000008_01",2,"B9","plate 2","drog_000008",6.934542,6.934542,47.000122,"2026-07-21T12:11:40.642Z","053e0368-4ed8-4569-a070-81a22ad13957",74484,"2026-01-29T15:12:44.545Z",47.000122,"Emmanuel Defossez","Flower",1,1,"Sambucus_nigra_L",0,"DCIM/droguier_jbn/Sambucus_nigra_L_drog_000008_01.jpg","DCIM/droguier_jbn/Sambucus_nigra_L_drog_000008_02.jpg","DCIM/droguier_jbn/Sambucus_nigra_L_drog_000008_03.jpg","DCIM/droguier_jbn/Sambucus_nigra_L_drog_000008_04.jpg","DCIM/droguier_jbn/Sambucus_nigra_L_drog_000008_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260112160809,"Point","[6.934542198305123,47.00012112799634]"
"20261703_Mazz_Sample_drog_000383_01","\2026\Defossez\Mazzarine\","\2026\Defossez\Mazzarine\20261703_Mazz_Sample_drog_000383_01",2,"B10","plate 2","drog_000383",NA,NA,NA,"2026-07-21T12:50:38.576Z","053e0368-4ed8-4569-a070-81a22ad13957",74449,"2026-01-29T15:12:43.200Z",NA,"Emmanuel Defossez","Root",1,0,"Gentiana_lutea_L",0,"DCIM/droguier_jbn/Gentiana_lutea_L_drog_000383_01.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000333_02.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000383_03.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000383_04.jpg","DCIM/droguier_jbn/Gentiana_lutea_L_drog_000383_05.jpg","0000-0002-3279-9190","@manu_dfz","droguier_jbn","",NA,20260126120933,"",""
