original_sample_id	ms_container_id	extraction_container_id	original_sample_container_id	qfield_project	profile_mode	field_collector_fullname	field_taxon_name	field_latitude	field_longitude	field_comment_eco	field_weather	field_sample_name	field_geometry_coordinates	field_date	extraction_dried_weight	extraction_solvent_volume	extraction_dried_weight_unit_symbol	extraction_solvent_volume_unit_symbol	extraction_method_method_name	aliquot_aliquot_volume	aliquot_volume_unit_symbol	ms_filename	ms_injection_volume	ms_injection_volume_unit_symbol	ms_injection_method_method_name	ms_instrument_instrument_id	ms_instrument_model_instrument_model	ms_instrument_location_room_name	watcher_exact_filename_match	watcher_file_path	watcher_file_name	watcher_converted_file_sha1	watcher_acquisition_date	watcher_polarity	watcher_spectrum_count	watcher_chromatogram_count	watcher_instrument_model	watcher_ionization_source	watcher_analyzer	watcher_detector	watcher_source_file_names	watcher_raw_file_sha1
dbgi_001157			dbgi_001157	jbuf				7.155511	46.793415			Euonymus fortunei Hand.- Mazz. 'Coloratus'	[7.155510756216644, 46.79341417893496]																													
dbgi_001162			dbgi_001162	jbuf				7.156672	46.792995			Clematis recta L.	[7.156671991284194, 46.7929940792885]																													
dbgi_001175			dbgi_001175	jbuf				7.156714	46.792854			Clematis viticella L.	[7.156714147498697, 46.79285397989937]																													
dbgi_001182			dbgi_001182	jbuf				7.1564693	46.79277			Clematis alpina (L.) Mill.	[7.156469395003527, 46.79277060265582]																													
dbgi_001166			dbgi_001166	jbuf				7.1562123	46.79258			Lonicera caerulea L.	[7.156212536098103, 46.79257855870859]																													
dbgi_001158			dbgi_001158	jbuf				7.1563687	46.792652			Lonicera alpigena L.	[7.156368610376055, 46.7926515563055]																													
dbgi_001174			dbgi_001174	jbuf				7.156427	46.792755			Lonicera nigra L.	[7.15642671351401, 46.792755870496144]																													
dbgi_001156			dbgi_001156	jbuf				7.1561465	46.792976			Clematis alpina (L.) Mill.	[7.156146739688571, 46.79297552135567]																													
dbgi_001169			dbgi_001169	jbuf				7.155334	46.793			Lonicera japonica Thunb. 'Halliana'	[7.155334146394731, 46.79299887067759]																													
dbgi_003185	dbgi_003185_01_01	dbgi_003185_01	dbgi_003185	jbuf	positive	Emmanuel Defossez	Agrimonia eupatoria L.	7.157249	46.79255				[7.157249090846688, 46.79255100337638]	20240625134458	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003185_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003185_01_01.mzML	202406251749_PMA_dbgi_003185_01_01.mzML	e55f5199a262435fbfc40980a5afccad84deac11	2024-06-25T21:11:59Z	MS:1000130|positive scan	3739	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003185_01_01.raw	5a370d296bb3cfe05a55ff38ba9039286c868406
dbgi_003185	dbgi_003185_01_01	dbgi_003185_01	dbgi_003185	jbuf	negative	Emmanuel Defossez	Agrimonia eupatoria L.	7.157249	46.79255				[7.157249090846688, 46.79255100337638]	20240625134458	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003185_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003185_01_01.mzML	202406251802_PMA_dbgi_003185_01_01.mzML	12113d8f90bf52a9630cf8b37729c48ae4a2a567	2024-06-26T02:45:14Z	MS:1000129|negative scan	3950	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003185_01_01.raw	ca901f9baba5a914f48bc44d524adc218a956b81
dbgi_003155	dbgi_003155_01_01	dbgi_003155_01	dbgi_003155	jbuf	positive	Emmanuel Defossez	Rubus idaeus L. 'Autumn Bliss'	7.157231	46.79254				[7.157230866846143, 46.79254092681101]	20240625135158	53	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003155_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003155_01_01.mzML	202406251749_PMA_dbgi_003155_01_01.mzML	a60a7411c31f2a8e608a25e8f8ce75bdc4752744	2024-06-25T20:08:33Z	MS:1000130|positive scan	3524	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003155_01_01.raw	a1f60597e5aa60d4d1de6e67982fdb7a8fdc9618
dbgi_003155	dbgi_003155_01_01	dbgi_003155_01	dbgi_003155	jbuf	negative	Emmanuel Defossez	Rubus idaeus L. 'Autumn Bliss'	7.157231	46.79254				[7.157230866846143, 46.79254092681101]	20240625135158	53	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003155_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003155_01_01.mzML	202406251802_PMA_dbgi_003155_01_01.mzML	5c177c4b18676255d575ed975def2712a2ddc1af	2024-06-26T01:41:51Z	MS:1000129|negative scan	3527	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003155_01_01.raw	5deb5e7bdc09f300a616aeb1e7c0418be24b14d2
dbgi_003196	dbgi_003196_01_01	dbgi_003196_01	dbgi_003196	jbuf	positive	Emmanuel Defossez	Waldsteinia fragarioides Tratt.	7.1572285	46.792458				[7.157228488394741, 46.79245915471189]	20240625135923	51	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003196_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003196_01_01.mzML	202406251749_PMA_dbgi_003196_01_01.mzML	6ab2fbeeca5e781cd1513194e541617b5ef28f36	2024-06-25T21:43:40Z	MS:1000130|positive scan	3686	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003196_01_01.raw	541016d692a6c44d327449655de67fd45226f9c7
dbgi_003196	dbgi_003196_01_01	dbgi_003196_01	dbgi_003196	jbuf	negative	Emmanuel Defossez	Waldsteinia fragarioides Tratt.	7.1572285	46.792458				[7.157228488394741, 46.79245915471189]	20240625135923	51	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003196_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003196_01_01.mzML	202406251802_PMA_dbgi_003196_01_01.mzML	d18124af1b22ef75863b65075621fc71c466dfe4	2024-06-26T03:16:56Z	MS:1000129|negative scan	3632	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003196_01_01.raw	e272e5ed6fbf867d62bbd678efb43019e7de1294
dbgi_003223	dbgi_003223_01_01	dbgi_003223_01	dbgi_003223	jbuf	positive	Emmanuel Defossez	Rosa glauca Pourr.	7.1572824	46.79245				[7.157282359168712, 46.79245134690538]	20240625140558	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003223_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003223_01_01.mzML	202406251749_PMA_dbgi_003223_01_01.mzML	160c93506aeaee8c61614f990f05adcf653e8f9d	2024-06-25T22:31:12Z	MS:1000130|positive scan	3496	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003223_01_01.raw	795e9b4e855dd49b359528bc3eff0dd400098f26
dbgi_003223	dbgi_003223_01_01	dbgi_003223_01	dbgi_003223	jbuf	negative	Emmanuel Defossez	Rosa glauca Pourr.	7.1572824	46.79245				[7.157282359168712, 46.79245134690538]	20240625140558	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003223_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003223_01_01.mzML	202406251802_PMA_dbgi_003223_01_01.mzML	f32615cac46c179d97c774985038a5b695e98eca	2024-06-26T04:04:31Z	MS:1000129|negative scan	3590	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003223_01_01.raw	c775e15a6cae1b88296a9233c370d5095731573f
dbgi_003101	dbgi_003101_01_01	dbgi_003101_01	dbgi_003101	jbuf	positive	Emmanuel Defossez	Stephanandra incisa (Thunb.) Zabel 'Crispa'	7.1573086	46.79241				[7.157308715166152, 46.79241071020331]	20240625141040	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003101_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003101_01_01.mzML	202406251749_PMA_dbgi_003101_01_01.mzML	c8d9ea921e3e31d16f6c2961865799ba556e9ad4	2024-06-25T19:05:08Z	MS:1000130|positive scan	3422	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003101_01_01.raw	ca0bac0cf75e77f39904aa5e46fe0489cf899c12
dbgi_003101	dbgi_003101_01_01	dbgi_003101_01	dbgi_003101	jbuf	negative	Emmanuel Defossez	Stephanandra incisa (Thunb.) Zabel 'Crispa'	7.1573086	46.79241				[7.157308715166152, 46.79241071020331]	20240625141040	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003101_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003101_01_01.mzML	202406251802_PMA_dbgi_003101_01_01.mzML	da1eac08455e158d022cf036c9dd40a8ba4d88de	2024-06-26T00:38:25Z	MS:1000129|negative scan	3432	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003101_01_01.raw	5574ce5b9ef68d04ff5d2ad6ad71db5252317932
dbgi_003214	dbgi_003214_01_01	dbgi_003214_01	dbgi_003214	jbuf	positive	Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003214_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003214_01_01.mzML	202406251749_PMA_dbgi_003214_01_01.mzML	0c2c7bd2ad91824de6e3dc6094e614078e351624	2024-06-25T22:15:22Z	MS:1000130|positive scan	3290	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003214_01_01.raw	290fdc1b4e093eed14a36cf0b6633fbdb210f6dc
dbgi_003214	dbgi_003214_01_01	dbgi_003214_01	dbgi_003214	jbuf	negative	Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003214_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003214_01_01.mzML	202406251802_PMA_dbgi_003214_01_01.mzML	5c4adf356a16d600ad103081b82dbd7b9df4f717	2024-06-26T03:48:40Z	MS:1000129|negative scan	3334	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003214_01_01.raw	5faa6786e680ead35eca2681dbd571e955f256d8
dbgi_003214		dbgi_003214_02	dbgi_003214	jbuf		Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853	50		mg	µl	20x20 MeOH/H2O																							
dbgi_003180	dbgi_003180_01_01	dbgi_003180_01	dbgi_003180	jbuf	positive	Emmanuel Defossez	Petunia integrifolia (Hook.) Schinz et Thell.	7.1567	46.792587				[7.156700289852578, 46.79258674744285]	20240625142337	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003180_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003180_01_01.mzML	202406251749_PMA_dbgi_003180_01_01.mzML	2234be7f0efba30e7dc99df10541f8df028f83b3	2024-06-25T20:56:09Z	MS:1000130|positive scan	3196	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003180_01_01.raw	05b959f13180b024a06031610d1ff904fce961cb
dbgi_003180	dbgi_003180_01_01	dbgi_003180_01	dbgi_003180	jbuf	negative	Emmanuel Defossez	Petunia integrifolia (Hook.) Schinz et Thell.	7.1567	46.792587				[7.156700289852578, 46.79258674744285]	20240625142337	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003180_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003180_01_01.mzML	202406251802_PMA_dbgi_003180_01_01.mzML	fdc3ef0eb8484937fef50aa293d888b5cb8420fa	2024-06-26T02:29:24Z	MS:1000129|negative scan	3356	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003180_01_01.raw	4ce049fce3bebd5b76cbdc708807b7bbb72093ff
dbgi				jbuf		Emmanuel Defossez	Agrimonia eupatoria L.	7.157249	46.79255				[7.157249090846688, 46.79255100337638]	20240625134458																												
dbgi_1				jbuf		Emmanuel Defossez	Rubus idaeus L. 'Autumn Bliss'	7.157231	46.79254				[7.157230866846143, 46.79254092681101]	20240625135158																												
dbgi_2				kew-botanical-gardens		Kateřina Kučerová	Passiflora	-0.29062262	51.481995				[-0.290622615926055, 51.48199626216848]	20251001122422																												
dbgi_3				jbuf		Emmanuel Defossez	Rosa glauca Pourr.	7.1572824	46.79245				[7.157282359168712, 46.79245134690538]	20240625140558																												
dbgi_4				jbuf		Emmanuel Defossez	Stephanandra incisa (Thunb.) Zabel 'Crispa'	7.1573086	46.79241				[7.157308715166152, 46.79241071020331]	20240625141040																												
dbgi_5				jbuf		Emmanuel Defossez	Hyoscyamus niger L.	7.15671	46.792603				[7.156710004666341, 46.79260288725841]	20240625141853																												
dbgi_6				jbuf		Emmanuel Defossez	Petunia integrifolia (Hook.) Schinz et Thell.	7.1567	46.792587				[7.156700289852578, 46.79258674744285]	20240625142337																												
dbgi_003140	dbgi_003140_01_01	dbgi_003140_01	dbgi_003140	jbuf	positive	Pierre-Marie Allard	Papaver somniferum L.	7.1564956	46.792496				[7.15649566605681, 46.79249727993352]	20240625134025	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003140_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003140_01_01.mzML	202406251749_PMA_dbgi_003140_01_01.mzML	253678ca8a169bcd6968596528fda9b7a24208d4	2024-06-25T19:21:00Z	MS:1000130|positive scan	3207	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003140_01_01.raw	b9ec654f60382cdb8e0404821488d586efda7ba7
dbgi_003140	dbgi_003140_01_01	dbgi_003140_01	dbgi_003140	jbuf	negative	Pierre-Marie Allard	Papaver somniferum L.	7.1564956	46.792496				[7.15649566605681, 46.79249727993352]	20240625134025	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003140_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003140_01_01.mzML	202406251802_PMA_dbgi_003140_01_01.mzML	4d8576be9ec0a0a2745fbe80bece497b04bee4e7	2024-06-26T00:54:17Z	MS:1000129|negative scan	3334	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003140_01_01.raw	08bc1cb9368f6cc99a845f6f1d7085f44bce9771
dbgi_003198	dbgi_003198_01_01	dbgi_003198_01	dbgi_003198	jbuf	positive	Pierre-Marie Allard	Corydalis flexuosa Franch.	7.1564803	46.79245				[7.156480134252953, 46.79244980752219]	20240625135055	50	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003198_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003198_01_01.mzML	202406251749_PMA_dbgi_003198_01_01.mzML	66df43b26cfe4c0dd32a2373c96ea52e7bbeeddd	2024-06-25T21:59:32Z	MS:1000130|positive scan	3865	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003198_01_01.raw	8fba6c164de26123ab9d8f74f4f6e45795e14a76
dbgi_003198	dbgi_003198_01_01	dbgi_003198_01	dbgi_003198	jbuf	negative	Pierre-Marie Allard	Corydalis flexuosa Franch.	7.1564803	46.79245				[7.156480134252953, 46.79244980752219]	20240625135055	50	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003198_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003198_01_01.mzML	202406251802_PMA_dbgi_003198_01_01.mzML	ba78074c214c14760ab31749cf1814761bca97b3	2024-06-26T03:32:48Z	MS:1000129|negative scan	3441	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003198_01_01.raw	dd592137d20fd1fa2896c743e3ce7a7692cf59c3
dbgi_003198		dbgi_003198_02	dbgi_003198	jbuf		Pierre-Marie Allard	Corydalis flexuosa Franch.	7.1564803	46.79245				[7.156480134252953, 46.79244980752219]	20240625135055	50		mg	µl	20x20 MeOH/H2O																							
dbgi_003179	dbgi_003179_01_01	dbgi_003179_01	dbgi_003179	jbuf	positive	Pierre-Marie Allard	Lamprocapnos spectabilis (L.) Fukuhara	7.156495	46.792465				[7.156495147668584, 46.79246567631875]	20240625140019	48	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003179_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003179_01_01.mzML	202406251749_PMA_dbgi_003179_01_01.mzML	50671cf06e6f10c59cbc829f361f9c3cf7e28750	2024-06-25T20:40:19Z	MS:1000130|positive scan	3223	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003179_01_01.raw	a32c743d6cbed292848cbe19f801c1d8e44578de
dbgi_003179	dbgi_003179_01_01	dbgi_003179_01	dbgi_003179	jbuf	negative	Pierre-Marie Allard	Lamprocapnos spectabilis (L.) Fukuhara	7.156495	46.792465				[7.156495147668584, 46.79246567631875]	20240625140019	48	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003179_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003179_01_01.mzML	202406251802_PMA_dbgi_003179_01_01.mzML	f611d9b27d30e2a699e26b0ed5adcf3103c7a26d	2024-06-26T02:13:32Z	MS:1000129|negative scan	3362	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003179_01_01.raw	c43911b5c29d197c7815085e16d96f863e4e9b8e
dbgi_003187	dbgi_003187_01_01	dbgi_003187_01	dbgi_003187	jbuf	positive	Pierre-Marie Allard	Glaucium flavum Crantz	7.156496	46.792477				[7.156495948333851, 46.79247651683258]	20240625140737	52	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003187_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003187_01_01.mzML	202406251749_PMA_dbgi_003187_01_01.mzML	20e0bf4fea9a51477d98f50e8ad3174278065c63	2024-06-25T21:27:49Z	MS:1000130|positive scan	3675	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003187_01_01.raw	0636817ee6e28c936c6f666a72d8e25a2298a5fa
dbgi_003187	dbgi_003187_01_01	dbgi_003187_01	dbgi_003187	jbuf	negative	Pierre-Marie Allard	Glaucium flavum Crantz	7.156496	46.792477				[7.156495948333851, 46.79247651683258]	20240625140737	52	1000	mg	µl	MeOH/H2O	200	µl	202406251802_PMA_dbgi_003187_01_01	2	µl	100mm_C18_15min_DDA_neg	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251802_PMA_dbgi_003187_01_01.mzML	202406251802_PMA_dbgi_003187_01_01.mzML	c934e375f893252d6ed9e156038d03eb217d9991	2024-06-26T03:01:04Z	MS:1000129|negative scan	3413	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251802_PMA_dbgi_003187_01_01.raw	b2f698f8965ffaafe0e1c29cfe263c76df7b7496
dbgi_003164	dbgi_003164_01_01	dbgi_003164_01	dbgi_003164	jbuf	positive	Pierre-Marie Allard	Glaucium flavum Crantz	7.1564975	46.79247				[7.156497673645488, 46.79246765491008]	20240625141250	49	1000	mg	µl	MeOH/H2O	200	µl	202406251749_PMA_dbgi_003164_01_01	2	µl	100mm_C18_15min_DDA_ELON_pos	inst_000001	LC-MS QExactive Plus	0.308	True	/mnt/bigdata/mapp/public/QE_plus_unifr/converted/202406251749_PMA_dbgi_003164_01_01.mzML	202406251749_PMA_dbgi_003164_01_01.mzML	57e3a1936129e733f6d5632f6b03348fbeb70843	2024-06-25T20:24:27Z	MS:1000130|positive scan	3497	2	MS:1002634|Q Exactive Plus	MS:1000073|electrospray ionization; MS:1000057|electrospray inlet	MS:1000081|quadrupole; MS:1000484|orbitrap	MS:1000624|inductive detector	202406251749_PMA_dbgi_003164_01_01.raw	4ad21419f44f6661f007c976806de583caef5b52
