project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	has_dried	has_extraction	has_aliquot	has_ms	dried_sample_container_ids	extraction_sample_container_ids	issue
jbuf	65906	dbgi_000425	canonical	dbgi_000425		Cornus florida fo. rubra (Weston) Schelle			7.156857	46.79246	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000425		missing_extraction
jbuf	65907	dbgi_000434	canonical	dbgi_000434		Davidia involucrata Baill. s.l.			7.1568956	46.792446	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000434		missing_extraction
jbuf	65908	dbgi_000493	canonical	dbgi_000493		Cornus alternifolia L. f.			7.1568923	46.79248	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000493		missing_extraction
jbuf	65909	dbgi_000406	canonical	dbgi_000406		Cornus sanguinea L.			7.156941	46.792435	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000406		missing_extraction
jbuf	65910	dbgi_000481	canonical	dbgi_000481		Deutzia scabra Thunb. 'Pride of Rochester'			7.1569376	46.79246	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000481		missing_extraction
jbuf	65911	dbgi_000386	canonical	dbgi_000386		Philadelphus coronarius L.			7.156954	46.79248	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000386		missing_extraction
jbuf	65912	dbgi_000426	canonical	dbgi_000426		Kirengeshoma palmata Yatabe			7.1569667	46.792454	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000426		missing_extraction
jbuf	65913	dbgi_000450	canonical	dbgi_000450		Hydrangea arborescens subsp. discolor (Ser.) E.M. McClint.			7.1569567	46.792458	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000450		missing_extraction
jbuf	65914	dbgi_000451	canonical	dbgi_000451		Hydrangea paniculata Siebold 'Grandiflora'			7.1569676	46.792458	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000451		missing_extraction
jbuf	65915	dbgi_000381	canonical	dbgi_000381		Hydrangea aspera D. Don			7.156979	46.79247	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000381		missing_extraction
jbuf	65916	dbgi_000504	canonical	dbgi_000504		Hydrangea macrophylla (Murray) Ser.			7.1569843	46.792477	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000504		missing_extraction
jbuf	65917	dbgi_000462	canonical	dbgi_000462		Vitis labrusca L.			7.1570177	46.792446	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000462		missing_extraction
jbuf	65918	dbgi_000446	canonical	dbgi_000446		Vitis vulpina L.			7.157018	46.79243	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000446		missing_extraction
jbuf	65919	dbgi_000443	canonical	dbgi_000443		Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.			7.1570377	46.792454	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000443		missing_extraction
jbuf	65920	dbgi_000380	canonical	dbgi_000380		Paeonia suffruticosa Andrews subsp. suffruticosa			7.1569924	46.79242	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000380		missing_extraction
jbuf	65921	dbgi_000452	canonical	dbgi_000452		Paeonia rockii D.Y.Hong			7.1570005	46.79242	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000452		missing_extraction
jbuf	65922	dbgi_000403	canonical	dbgi_000403		Paeonia mascula (L.) Mill. s.l.			7.1570106	46.792404	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000403		missing_extraction
jbuf	65923	dbgi_000383	canonical	dbgi_000383		Paeonia daurica subsp. mlokosewitschii (Lomakin) D.Y.Hong			7.157022	46.792397	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000383		missing_extraction
jbuf	65924	dbgi_000465	canonical	dbgi_000465		Paeonia lutea Franch.			7.157036	46.79239	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000465		missing_extraction
jbuf	65925	dbgi_000412	canonical	dbgi_000412		Corylopsis spicata Siebold et Zucc.			7.1570597	46.792374	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000412		missing_extraction
jbuf	65926	dbgi_000502	canonical	dbgi_000502		Parrotia persica (DC.) C.A. Mey.			7.1570964	46.792377	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000502		missing_extraction
jbuf	65927	dbgi_000393	canonical	dbgi_000393		Vitis vinifera L. subsp. vinifera			7.1570463	46.792416	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000393		missing_extraction
jbuf	65928	dbgi_000479	canonical	dbgi_000479		Liquidambar styraciflua L.			7.1570916	46.792347	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000479		missing_extraction
jbuf	65929	dbgi_000468	canonical	dbgi_000468		Fothergilla gardenii L.			7.157089	46.792328	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000468		missing_extraction
jbuf	65930	dbgi_000490	canonical	dbgi_000490		Cercidiphyllum japonicum Sieb. et Zucc. MÃ¯Â¿Â½le			7.1571374	46.79233	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000490		missing_extraction
jbuf	65931	dbgi_000405	canonical	dbgi_000405		Ribes aureum Pursh			7.157112	46.792294	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000405		missing_extraction
jbuf	65932	dbgi_000382	canonical	dbgi_000382		Ribes fasciculatum Siebold et Zucc.			7.1571417	46.792282	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000382		missing_extraction
jbuf	65933	dbgi_000394	canonical	dbgi_000394		Ribes nigrum L. 'Titania'			7.1571665	46.792274	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000394		missing_extraction
jbuf	65934	dbgi_000438	canonical	dbgi_000438		Ribes rubrum L. 'Blanc de Versailles'			7.157159	46.79226	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000438		missing_extraction
jbuf	65935	dbgi_000458	canonical	dbgi_000458		Ribes uva-crispa var. sativum DC. 'HinnonmÃ¯Â¿Â½ki'			7.1571484	46.79224	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000458		missing_extraction
jbuf	65936	dbgi_000395	canonical	dbgi_000395		Bergenia crassifolia (L.) Fritsch			7.1571574	46.79238	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000395		missing_extraction
jbuf	65937	dbgi_000498	canonical	dbgi_000498		Darmera peltata (Benth.) Voss			7.1571274	46.792408	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000498		missing_extraction
jbuf	65938	dbgi_000424	canonical	dbgi_000424		Astilbe japonica (C. Morren et Decne.) A.Gray			7.1571217	46.792408	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000424		missing_extraction
jbuf	65939	dbgi_000497	canonical	dbgi_000497		Tiarella cordifolia L.			7.157107	46.792408	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000497		missing_extraction
jbuf	65940	dbgi_000469	canonical	dbgi_000469		Mitella caulescens Nutt.			7.157116	46.792416	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000469		missing_extraction
jbuf	65941	dbgi_000389	canonical	dbgi_000389		Tolmiea menziesii (Pursh) Torr. et A. Gray.			7.1571083	46.79242	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000389		missing_extraction
jbuf	65942	dbgi_000501	canonical	dbgi_000501		Heuchera americana L. s.l.			7.1571026	46.792416	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000501		missing_extraction
jbuf	65943	dbgi_000387	canonical	dbgi_000387		Tellima grandiflora (Pursh) Lindl.			7.1571	46.79241	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000387		missing_extraction
jbuf	65944	dbgi_000402	canonical	dbgi_000402		Saxifraga geranioides L.			7.157098	46.792423	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000402		missing_extraction
jbuf	65945	dbgi_000448	canonical	dbgi_000448		Saxifraga hypnoides L.			7.1570945	46.792423	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000448		missing_extraction
jbuf	65946	dbgi_000404	canonical	dbgi_000404		Saxifraga hostii Tausch			7.1570873	46.79243	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000404		missing_extraction
jbuf	65947	dbgi_000454	canonical	dbgi_000454		Saxifraga marginata Sternb.			7.157086	46.792423	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000454		missing_extraction
jbuf	65948	dbgi_000413	canonical	dbgi_000413		Saxifraga paniculata subsp. cartilaginea (Willd.) D.A. Webb			7.1570926	46.79242	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000413		missing_extraction
jbuf	65949	dbgi_000491	canonical	dbgi_000491		Chiastophyllum oppositifolium (Ledeb.) A.Berger			7.157071	46.792435	looks_swapped_ch_lat_lon	true	false	false	false	dbgi_000491		missing_extraction
