decision	rationale	group_id	group_size	fingerprint	project	keep_field_data_id	keep_sample_id	delete_field_data_id	delete_sample_id	delete_sample_id_class	delete_canonical_candidate	unified_taxon_name	date	latitude	longitude	coordinate_status
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	34	3	champex_gradient|trifolium pratense|20250618151035|7.051377|46.080708	champex_gradient	73851	grad_000044	73883	grad_13	short_numeric_suffix		Trifolium pratense	20250618151035	7.051377	46.080708	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	34	3	champex_gradient|trifolium pratense|20250618151035|7.051377|46.080708	champex_gradient	73851	grad_000044	73925	grad_45	short_numeric_suffix		Trifolium pratense	20250618151035	7.051377	46.080708	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	35	2	champex_gradient|trifolium pratense|20250624144439|7.076242|46.077457	champex_gradient	73903	grad_000031	73945	grad_65	short_numeric_suffix		Trifolium pratense	20250624144439	7.0762424	46.077457	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	36	2	champex_gradient|trifolium pratense|20250624150337|7.07297|46.070267	champex_gradient	73905	grad_000293	73947	grad_67	short_numeric_suffix		Trifolium pratense	20250624150337	7.0729704	46.070267	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	37	2	champex_gradient|trifolium pratense|20250624161403|7.075751|46.07003	champex_gradient	73907	grad_000192	73949	grad_69	short_numeric_suffix		Trifolium pratense	20250624161403	7.0757513	46.07003	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	38	3	champex_gradient|vaccinium myrtillus|20250624141823|7.08479|46.096176	champex_gradient	73858	grad_000200	73890	grad_20	short_numeric_suffix		Vaccinium myrtillus	20250624141823	7.0847898	46.096176	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	38	3	champex_gradient|vaccinium myrtillus|20250624141823|7.08479|46.096176	champex_gradient	73858	grad_000200	73932	grad_52	short_numeric_suffix		Vaccinium myrtillus	20250624141823	7.0847898	46.096176	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	39	3	champex_gradient|vaccinium myrtillus|20250624150642|7.07323|46.07028	champex_gradient	73861	grad_000241	73893	grad_23	short_numeric_suffix		Vaccinium myrtillus	20250624150642	7.07323	46.07028	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	39	3	champex_gradient|vaccinium myrtillus|20250624150642|7.07323|46.07028	champex_gradient	73861	grad_000241	73935	grad_55	short_numeric_suffix		Vaccinium myrtillus	20250624150642	7.07323	46.07028	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	40	3	champex_gradient|vaccinium myrtilus|20250624164505|7.073068|46.067245	champex_gradient	73865	grad_000206	73897	grad_27	short_numeric_suffix		Vaccinium myrtilus	20250624164505	7.073068	46.067245	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	40	3	champex_gradient|vaccinium myrtilus|20250624164505|7.073068|46.067245	champex_gradient	73865	grad_000206	73939	grad_59	short_numeric_suffix		Vaccinium myrtilus	20250624164505	7.073068	46.067245	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	41	3	champex_gradient|vaccinium vitis-idaea|20250624160035|7.078708|46.071255	champex_gradient	73862	grad_000229	73894	grad_24	short_numeric_suffix		Vaccinium vitis-idaea	20250624160035	7.078708	46.071255	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	41	3	champex_gradient|vaccinium vitis-idaea|20250624160035|7.078708|46.071255	champex_gradient	73862	grad_000229	73936	grad_56	short_numeric_suffix		Vaccinium vitis-idaea	20250624160035	7.078708	46.071255	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	42	2	champex_gradient|vaccinium vitis-idae|20250624163106|7.074859|46.069054	champex_gradient	73909	grad_000195	73951	grad_71	short_numeric_suffix		Vaccinium vitis-idae	20250624163106	7.074859	46.069054	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	43	2	chemical_ecology|bellis perennis|20250406154447|7.114219|46.9102	chemical_ecology	70411	chec_000126	69913	chec_000126chec	other_noncanonical		Bellis perennis	20250406154447	7.114219	46.9102	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	44	5	chemical_ecology|bellis perennis|20250414125340|6.950008|47.000423	chemical_ecology	70178	chec_000148	70190	chec_4	short_numeric_suffix		Bellis perennis	20250414125340	6.950008	47.000423	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	44	5	chemical_ecology|bellis perennis|20250414125340|6.950008|47.000423	chemical_ecology	70178	chec_000148	70200	chec_13	short_numeric_suffix		Bellis perennis	20250414125340	6.950008	47.000423	looks_swapped_ch_lat_lon
delete_noncanonical_duplicate_observation	duplicate observation fingerprint group has exactly one canonical sample_id; keep canonical row and delete noncanonical sibling	44	5	chemical_ecology|bellis perennis|20250414125340|6.950008|47.000423	chemical_ecology	70178	chec_000148	70217	chec_26	short_numeric_suffix		Bellis perennis	20250414125340	6.950008	47.000423	looks_swapped_ch_lat_lon
