field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
73529	dbgi_009391	jbc	taxon_name_unified	Fragaria moschata	Fragaria moschata	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73530	dbgi_009237	jbc	taxon_name_unified	Rosa canina	Rosa canina	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73531	dbgi_009386	jbc	taxon_name_unified	Geranium macrorrhizum	Geranium macrorrhizum	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73532	dbgi_001367	jbc	taxon_name_unified	Chamaecytisus leiocarpus	Chamaecytisus leiocarpus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73533	dbgi_001353	jbc	taxon_name_unified	Silene volgensis	Silene volgensis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73534	dbgi_001411	jbc	taxon_name_unified	Festuca liviensis	Festuca liviensis	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73535	dbgi_001368	jbc	taxon_name_unified	Vaccinium myrtillus	Vaccinium myrtillus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73536	dbgi_001575	jbc	taxon_name_unified	Vaccinium vitis-idaea	Vaccinium vitis-idaea	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73537	dbgi_001366	jbc	taxon_name_unified	Erica Herbacea	Erica Herbacea	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73538	dbgi_001401	jbc	taxon_name_unified	Cytisus emeriflorus	Cytisus emeriflorus	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73539	dbgi_001352	jbc	taxon_name_unified	Primula hirsuta	Primula hirsuta	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
73540	dbgi_001393	jbc	taxon_name_unified	Bupleurum longifolium	Bupleurum longifolium	taxon_name	resolved_from_primary_taxon_field	taxon_name		target_field_already_populated
