collection	id	container_id	sample_id	issue
Dried_Samples_Data	4157	dbgi_006509		missing_field_data_for_dried_sample
Dried_Samples_Data	4158	dbgi_006512		missing_field_data_for_dried_sample
Dried_Samples_Data	4159	dbgi_006511		missing_field_data_for_dried_sample
Dried_Samples_Data	4160	dbgi_006510		missing_field_data_for_dried_sample
Dried_Samples_Data	4161	dbgi_006433		missing_field_data_for_dried_sample
Dried_Samples_Data	4162	dbgi_006427		missing_field_data_for_dried_sample
Dried_Samples_Data	4163	dbgi_006432		missing_field_data_for_dried_sample
Dried_Samples_Data	4164	dbgi_006383		missing_field_data_for_dried_sample
Dried_Samples_Data	4165	dbgi_006423		missing_field_data_for_dried_sample
Dried_Samples_Data	4166	dbgi_006394		missing_field_data_for_dried_sample
Dried_Samples_Data	4167	dbgi_006379		missing_field_data_for_dried_sample
Dried_Samples_Data	4168	dbgi_006437		missing_field_data_for_dried_sample
Dried_Samples_Data	4169	dbgi_006424		missing_field_data_for_dried_sample
Dried_Samples_Data	4170	dbgi_006410		missing_field_data_for_dried_sample
Dried_Samples_Data	4171	dbgi_006425		missing_field_data_for_dried_sample
Dried_Samples_Data	4172	dbgi_006405		missing_field_data_for_dried_sample
Dried_Samples_Data	4173	dbgi_006412		missing_field_data_for_dried_sample
Dried_Samples_Data	4174	dbgi_006429		missing_field_data_for_dried_sample
Dried_Samples_Data	4175	dbgi_006419		missing_field_data_for_dried_sample
Dried_Samples_Data	4176	dbgi_006393		missing_field_data_for_dried_sample
Dried_Samples_Data	4177	dbgi_006409		missing_field_data_for_dried_sample
Dried_Samples_Data	4178	dbgi_006426		missing_field_data_for_dried_sample
Dried_Samples_Data	4179	dbgi_006570		missing_field_data_for_dried_sample
Dried_Samples_Data	4180	dbgi_006401		missing_field_data_for_dried_sample
Dried_Samples_Data	4181	dbgi_006414		missing_field_data_for_dried_sample
Dried_Samples_Data	4182	dbgi_006434		missing_field_data_for_dried_sample
Dried_Samples_Data	4183	dbgi_006418		missing_field_data_for_dried_sample
Dried_Samples_Data	4184	dbgi_006400		missing_field_data_for_dried_sample
Dried_Samples_Data	4185	dbgi_004199		missing_field_data_for_dried_sample
Dried_Samples_Data	4186	dbgi_004200		missing_field_data_for_dried_sample
Dried_Samples_Data	4187	dbgi_004202		missing_field_data_for_dried_sample
Dried_Samples_Data	4188	dbgi_004201		missing_field_data_for_dried_sample
Dried_Samples_Data	4189	dbgi_004198		missing_field_data_for_dried_sample
Dried_Samples_Data	4190	dbgi_004063		missing_field_data_for_dried_sample
Dried_Samples_Data	4191	dbgi_004064		missing_field_data_for_dried_sample
Dried_Samples_Data	4192	dbgi_004065		missing_field_data_for_dried_sample
Dried_Samples_Data	4193	dbgi_004067		missing_field_data_for_dried_sample
Dried_Samples_Data	4194	dbgi_004066		missing_field_data_for_dried_sample
Dried_Samples_Data	4195	dbgi_004221		missing_field_data_for_dried_sample
Dried_Samples_Data	4196	dbgi_004219		missing_field_data_for_dried_sample
Dried_Samples_Data	4197	dbgi_004222		missing_field_data_for_dried_sample
Dried_Samples_Data	4198	dbgi_004218		missing_field_data_for_dried_sample
Dried_Samples_Data	4199	dbgi_004220		missing_field_data_for_dried_sample
Dried_Samples_Data	4200	dbgi_004103		missing_field_data_for_dried_sample
Dried_Samples_Data	4201	dbgi_004105		missing_field_data_for_dried_sample
Dried_Samples_Data	4202	dbgi_004107		missing_field_data_for_dried_sample
Dried_Samples_Data	4203	dbgi_004104		missing_field_data_for_dried_sample
Dried_Samples_Data	4204	dbgi_004106		missing_field_data_for_dried_sample
Dried_Samples_Data	4205	dbgi_004239		missing_field_data_for_dried_sample
Dried_Samples_Data	4206	dbgi_004238		missing_field_data_for_dried_sample
Dried_Samples_Data	4207	dbgi_004242		missing_field_data_for_dried_sample
Dried_Samples_Data	4208	dbgi_004241		missing_field_data_for_dried_sample
Dried_Samples_Data	4209	dbgi_004240		missing_field_data_for_dried_sample
Dried_Samples_Data	4210	dbgi_004043		missing_field_data_for_dried_sample
Dried_Samples_Data	4211	dbgi_004045		missing_field_data_for_dried_sample
Dried_Samples_Data	4212	dbgi_004047		missing_field_data_for_dried_sample
Dried_Samples_Data	4213	dbgi_004044		missing_field_data_for_dried_sample
Dried_Samples_Data	4214	dbgi_004046		missing_field_data_for_dried_sample
Dried_Samples_Data	4215	dbgi_004211		missing_field_data_for_dried_sample
Dried_Samples_Data	4216	dbgi_004209		missing_field_data_for_dried_sample
Dried_Samples_Data	4217	dbgi_004208		missing_field_data_for_dried_sample
Dried_Samples_Data	4218	dbgi_004210		missing_field_data_for_dried_sample
Dried_Samples_Data	4219	dbgi_004212		missing_field_data_for_dried_sample
Dried_Samples_Data	4220	dbgi_004096		missing_field_data_for_dried_sample
Dried_Samples_Data	4221	dbgi_004093		missing_field_data_for_dried_sample
Dried_Samples_Data	4222	dbgi_004095		missing_field_data_for_dried_sample
Dried_Samples_Data	4223	dbgi_004097		missing_field_data_for_dried_sample
Dried_Samples_Data	4224	dbgi_004094		missing_field_data_for_dried_sample
Dried_Samples_Data	4225	dbgi_006455		missing_field_data_for_dried_sample
Dried_Samples_Data	4226	dbgi_006457		missing_field_data_for_dried_sample
Dried_Samples_Data	4227	dbgi_006453		missing_field_data_for_dried_sample
Dried_Samples_Data	4228	dbgi_006454		missing_field_data_for_dried_sample
Dried_Samples_Data	4229	dbgi_006456		missing_field_data_for_dried_sample
Dried_Samples_Data	4230	dbgi_006447		missing_field_data_for_dried_sample
Dried_Samples_Data	4231	dbgi_006445		missing_field_data_for_dried_sample
Dried_Samples_Data	4232	dbgi_006441		missing_field_data_for_dried_sample
Dried_Samples_Data	4233	dbgi_006446		missing_field_data_for_dried_sample
Dried_Samples_Data	4234	dbgi_006444		missing_field_data_for_dried_sample
Dried_Samples_Data	4235	dbgi_006443		missing_field_data_for_dried_sample
Dried_Samples_Data	4236	dbgi_006438		missing_field_data_for_dried_sample
Dried_Samples_Data	4237	dbgi_006442		missing_field_data_for_dried_sample
Dried_Samples_Data	4238	dbgi_006440		missing_field_data_for_dried_sample
Dried_Samples_Data	4239	dbgi_006439		missing_field_data_for_dried_sample
Dried_Samples_Data	4240	dbgi_004207		missing_field_data_for_dried_sample
Dried_Samples_Data	4241	dbgi_004233		missing_field_data_for_dried_sample
Dried_Samples_Data	4242	dbgi_004053		missing_field_data_for_dried_sample
Dried_Samples_Data	4243	dbgi_004206		missing_field_data_for_dried_sample
Dried_Samples_Data	4244	dbgi_004057		missing_field_data_for_dried_sample
Dried_Samples_Data	4245	dbgi_004056		missing_field_data_for_dried_sample
Dried_Samples_Data	4246	dbgi_004203		missing_field_data_for_dried_sample
Dried_Samples_Data	4247	dbgi_004235		missing_field_data_for_dried_sample
Dried_Samples_Data	4248	dbgi_004055		missing_field_data_for_dried_sample
Dried_Samples_Data	4249	dbgi_004236		missing_field_data_for_dried_sample
Dried_Samples_Data	4250	dbgi_004237		missing_field_data_for_dried_sample
Dried_Samples_Data	4251	dbgi_004204		missing_field_data_for_dried_sample
Dried_Samples_Data	4252	dbgi_004234		missing_field_data_for_dried_sample
Dried_Samples_Data	4253	dbgi_004205		missing_field_data_for_dried_sample
Dried_Samples_Data	4254	dbgi_004054		missing_field_data_for_dried_sample
Dried_Samples_Data	4255	dbgi_004191		missing_field_data_for_dried_sample
Dried_Samples_Data	4256	dbgi_004190		missing_field_data_for_dried_sample
Dried_Samples_Data	4257	dbgi_004188		missing_field_data_for_dried_sample
Dried_Samples_Data	4258	dbgi_004192		missing_field_data_for_dried_sample
Dried_Samples_Data	4259	dbgi_004189		missing_field_data_for_dried_sample
Dried_Samples_Data	4260	dbgi_006399		missing_field_data_for_dried_sample
Dried_Samples_Data	4261	dbgi_006417		missing_field_data_for_dried_sample
Dried_Samples_Data	4262	dbgi_006382		missing_field_data_for_dried_sample
