field_data_id	sample_id	project	target_field	current_value	new_value	unified_taxon_source	unified_taxon_status	taxon_candidate_fields_present	taxon_unified_conflict	skip_reason
65766	dbgi_001235	jbuf	taxon_name_unified		Helleborus niger L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65767	dbgi_001204	jbuf	taxon_name_unified		Helleborus purpurascens Waldst. et Kit.	sample_name	resolved_from_primary_taxon_field	sample_name		
65768	dbgi_000518	jbuf	taxon_name_unified		Cimicifuga foetida L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65769	dbgi_001117	jbuf	taxon_name_unified		Cimicifuga racemosa (L.) Nutt. s.l.	sample_name	resolved_from_primary_taxon_field	sample_name		
65770	dbgi_001753	jbuf	taxon_name_unified		Pulsatilla vulgaris Mill.	sample_name	resolved_from_primary_taxon_field	sample_name		
65771	dbgi_001758	jbuf	taxon_name_unified		Anemone hupehensis var. japonica (Thunb.) Bowles et Stearn	sample_name	resolved_from_primary_taxon_field	sample_name		
65772	dbgi_001238	jbuf	taxon_name_unified		Anemone blanda Schott et Kotschy	sample_name	resolved_from_primary_taxon_field	sample_name		
65773	dbgi_001754	jbuf	taxon_name_unified		Fuchsia corymbiflora Ruiz et Pav.	sample_name	resolved_from_primary_taxon_field	sample_name		
65774	dbgi_001211	jbuf	taxon_name_unified		Fuchsia magellanica Lam.	sample_name	resolved_from_primary_taxon_field	sample_name		
65775	dbgi_001762	jbuf	taxon_name_unified		Fuchsia fulgens Mo§. et Sess	sample_name	resolved_from_primary_taxon_field	sample_name		
65776	dbgi_001198	jbuf	taxon_name_unified		Epilobium angustifolium L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65777	dbgi_001763	jbuf	taxon_name_unified		Epilobium hirsutum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65778	dbgi_001756	jbuf	taxon_name_unified		Epilobium fleischeri Hochst.	sample_name	resolved_from_primary_taxon_field	sample_name		
65779	dbgi_001201	jbuf	taxon_name_unified		Epilobium montanum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65780	dbgi_001220	jbuf	taxon_name_unified		Epilobium dodonaei Vill.	sample_name	resolved_from_primary_taxon_field	sample_name		
65781	dbgi_001203	jbuf	taxon_name_unified		Gaura biennis L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65782	dbgi_001222	jbuf	taxon_name_unified		Gaura lindheimeri Engelm. & A. Gray	sample_name	resolved_from_primary_taxon_field	sample_name		
65783	dbgi_001199	jbuf	taxon_name_unified		Oenothera glazioviana Micheli	sample_name	resolved_from_primary_taxon_field	sample_name		
65784	dbgi_001219	jbuf	taxon_name_unified		Oenothera odorata Jacq.	sample_name	resolved_from_primary_taxon_field	sample_name		
65785	dbgi_001190	jbuf	taxon_name_unified		Lythrum virgatum L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65786	dbgi_001215	jbuf	taxon_name_unified		Lythrum hyssopifolia L.	sample_name	resolved_from_primary_taxon_field	sample_name		
65788	dbgi_001218	jbuf	taxon_name_unified		Cuphea ignea A. DC.	sample_name	resolved_from_primary_taxon_field	sample_name		
65789	dbgi_001202	jbuf	taxon_name_unified		Cuphea lanceolata W.T. Aiton	sample_name	resolved_from_primary_taxon_field	sample_name		
