field_data_id	sample_id	qfield_project	taxon_name	old_name_proposition	new_name_proposition
74715	drog_000216	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74716	drog_000265	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74717	drog_000172	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74718	drog_000300	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74719	drog_000159	droguier_jbn	Foeniculum_vulgare_MilL	Arnica montana	
74720	drog_000139	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74721	drog_000168	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74722	drog_000166	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74723	drog_000187	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74724	drog_000284	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74725	drog_000063	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74726	drog_000141	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74727	drog_000271	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74728	drog_000176	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74729	drog_000158	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74730	drog_000264	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74731	drog_000142	droguier_jbn	Achillea_millefolium_L	Arnica montana	
74732	drog_000170	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74733	drog_000157	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74734	drog_000289	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74735	drog_000302	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74736	drog_000160	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74737	drog_000083	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74738	drog_000129	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74739	drog_000156	droguier_jbn	Frangula_alnus_MilL	Arnica montana	
74740	drog_000259	droguier_jbn	Carum_carvi_L	Arnica montana	
74741	drog_000094	droguier_jbn	Carum_carvi_L	Arnica montana	
74742	drog_000192	droguier_jbn	Carum_carvi_L	Arnica montana	
74743	drog_000093	droguier_jbn	Carum_carvi_L	Arnica montana	
74744	drog_000178	droguier_jbn	Carum_carvi_L	Arnica montana	
74745	drog_000100	droguier_jbn	Carum_carvi_L	Arnica montana	
74746	drog_000288	droguier_jbn	Carum_carvi_L	Arnica montana	
74747	drog_000195	droguier_jbn	Carum_carvi_L	Arnica montana	
74748	drog_000065	droguier_jbn	Carum_carvi_L	Arnica montana	
74749	drog_000098	droguier_jbn	Carum_carvi_L	Arnica montana	
74750	drog_000132	droguier_jbn	Carum_carvi_L	Arnica montana	
74753	drog_000538	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74754	drog_000316	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
74755	drog_000421	droguier_jbn	Juniperus_communis_L	Krameria lappacea	
