project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issues
jbuf	65702	dbgi_001154	canonical	dbgi_001154		Pennisetum glaucum (L.) R. Br.			7.1566987	46.79224	looks_swapped_ch_lat_lon	missing_date
jbuf	65703	dbgi_001167	canonical	dbgi_001167		Zea mexicana (Schrad.) Post et Kuntze subsp. mexicana			7.156693	46.792244	looks_swapped_ch_lat_lon	missing_date
jbuf	65704	dbgi_001172	canonical	dbgi_001172		Zea mays L. convar. mays 'Mergoscia'			7.1566873	46.792248	looks_swapped_ch_lat_lon	missing_date
jbuf	65705	dbgi_001170	canonical	dbgi_001170		Zea mays convar. microsperma Koern.			7.1566825	46.792248	looks_swapped_ch_lat_lon	missing_date
jbuf	65706	dbgi_001168	canonical	dbgi_001168		Zea mays convar. saccharata Krn.			7.1566787	46.79225	looks_swapped_ch_lat_lon	missing_date
jbuf	65707	dbgi_000545	canonical	dbgi_000545		Sorghum saccharatum convar. technicum (Koern.) Tzvelev			7.1566744	46.792255	looks_swapped_ch_lat_lon	missing_date
jbuf	65708	dbgi_001164	canonical	dbgi_001164		Echinochloa crus-galli (L.) P. Beauv.			7.1566696	46.79226	looks_swapped_ch_lat_lon	missing_date
jbuf	65709	dbgi_001180	canonical	dbgi_001180		Digitaria sanguinalis (L.) Scop.			7.1566763	46.792263	looks_swapped_ch_lat_lon	missing_date
jbuf	65710	dbgi_001120	canonical	dbgi_001120		Setaria pumila (Poir.) Roem. et Schult.			7.1566653	46.792263	looks_swapped_ch_lat_lon	missing_date
jbuf	65711	dbgi_001044	canonical	dbgi_001044		Setaria italica (L.) P. Beauv. Maxima Grp. 'Bernburger Kolben'			7.1566706	46.792267	looks_swapped_ch_lat_lon	missing_date
jbuf	65712	dbgi_001181	canonical	dbgi_001181		Panicum miliaceum L.			7.156661	46.792267	looks_swapped_ch_lat_lon	missing_date
jbuf	65713	dbgi_001111	canonical	dbgi_001111		Chrysopogon gryllus (L.) Trin.			7.156657	46.79227	looks_swapped_ch_lat_lon	missing_date
jbuf	65714	dbgi_001127	canonical	dbgi_001127		Chasmanthium latifolium (Michx.) H.O. Yates			7.1566453	46.792282	looks_swapped_ch_lat_lon	missing_date
jbuf	65715	dbgi_001171	canonical	dbgi_001171		Eragrostis tef (Zuccagni) Trotter			7.1566386	46.792286	looks_swapped_ch_lat_lon	missing_date
jbuf	65716	dbgi_001115	canonical	dbgi_001115		Chloris virgata Sw.			7.156632	46.792294	looks_swapped_ch_lat_lon	missing_date
jbuf	65717	dbgi_001037	canonical	dbgi_001037		Muhlenbergia mexicana (L.) Trin.			7.156639	46.792297	looks_swapped_ch_lat_lon	missing_date
jbuf	65718	dbgi_001053	canonical	dbgi_001053		Eleusine coracana (L.) Gaertn.			7.156629	46.792297	looks_swapped_ch_lat_lon	missing_date
