project	field_data_id	sample_id	sample_id_class	canonical_candidate	taxon_name	sample_name	taxon_name_final	date	latitude	longitude	coordinate_status	issue
jbp	74229	dbgi_009871	canonical	dbgi_009871	Inula ensifolia			20250818122817	14.414995	50.11968	out_of_ch_range	coordinates_out_of_ch_range
jbp	74230	dbgi_009898	canonical	dbgi_009898	Thalictrum flavum			20250818123739	14.414769	50.119644	out_of_ch_range	coordinates_out_of_ch_range
jbp	74231	dbgi_009883	canonical	dbgi_009883	Thalictrum flavum			20250818123855	14.414769	50.119644	out_of_ch_range	coordinates_out_of_ch_range
jbp	74232	dbgi_009834	canonical	dbgi_009834	Thalictrum flavum			20250818124025	14.414769	50.119644	out_of_ch_range	coordinates_out_of_ch_range
jbp	74233	dbgi_009907	canonical	dbgi_009907	Thalictrum simplex			20250818124317	14.414782	50.119705	out_of_ch_range	coordinates_out_of_ch_range
jbp	74234	dbgi_009847	canonical	dbgi_009847	Thalictrum simplex			20250818124537	14.414782	50.119705	out_of_ch_range	coordinates_out_of_ch_range
jbp	74235	dbgi_009861	canonical	dbgi_009861	Thalictrum lucidum			20250818124714	14.414753	50.119686	out_of_ch_range	coordinates_out_of_ch_range
jbp	74236	dbgi_009885	canonical	dbgi_009885	Thalictrum lucidum			20250818124821	14.414753	50.119686	out_of_ch_range	coordinates_out_of_ch_range
jbp	74237	dbgi_009829	canonical	dbgi_009829	Aconitum variegatum			20250818144832	14.419825	50.123386	out_of_ch_range	coordinates_out_of_ch_range
jbp	74238	dbgi_009886	canonical	dbgi_009886	Aconitum variegatum			20250818145048	14.419825	50.123386	out_of_ch_range	coordinates_out_of_ch_range
jbp	74239	dbgi_009889	canonical	dbgi_009889				20250818130549	14.41538	50.121643	out_of_ch_range	coordinates_out_of_ch_range
jbp	74240	dbgi_009843	canonical	dbgi_009843				20250818131008	14.41538	50.121643	out_of_ch_range	coordinates_out_of_ch_range
jbp	74241	dbgi_009865	canonical	dbgi_009865	Spiraea nipponica			20250818132021	14.415343	50.12161	out_of_ch_range	coordinates_out_of_ch_range
jbp	74242	dbgi_009828	canonical	dbgi_009828	Spiraea nipponica			20250818132319	14.415343	50.12161	out_of_ch_range	coordinates_out_of_ch_range
jbp	74243	dbgi_009831	canonical	dbgi_009831	Spiraea japonica			20250818132746	14.415308	50.121582	out_of_ch_range	coordinates_out_of_ch_range
jbp	74244	dbgi_009863	canonical	dbgi_009863	Spiraea japonica			20250818133104	14.415308	50.121582	out_of_ch_range	coordinates_out_of_ch_range
