filename,injection,file_type,sample_id,container_id,ATTRIBUTE_Species,genus,family,NCBITaxonomy_ID,Ionization.mode,organ,is_wild,collector,latitude,longitude,x_coord,y_coord,date_created
250403_ML_Metabo_DDA_sample_140_nr8.mzML,140,sample,dbgi_003656,dbgi_003656_01_01,Pelargonium graveolens,Pelargonium,Geraniaceae,73200,positive,Leaf,0,Mazzarine Laboureau,46.99968,6.9344616,2561654.5,1205526.4,2025-03-04T13:03:44.103Z
250403_ML_Metabo_DDA_sample_141_nr8.mzML,141,sample,dbgi_003407,dbgi_003407_01_01,Acorus calamus,Acorus,Acoraceae,4465,positive,Leaf,0,Mazzarine Laboureau,46.99999,6.9346375,2561668.2,1205560.5,2025-03-04T13:03:30.494Z
250403_ML_Metabo_DDA_sample_142_nr8.mzML,142,sample,dbgi_007026,dbgi_007026_01_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250403_ML_Metabo_DDA_sample_143_nr8.mzML,143,sample,dbgi_003383,dbgi_003383_01_01,Iris graminea,Iris,Iridaceae,995795,positive,Leaf,0,Mazzarine Laboureau,46.999916,6.9347734,2561678.5,1205552.5,2025-03-04T13:03:34.456Z
250403_ML_Metabo_DDA_sample_144_nr8.mzML,144,sample,dbgi_003478,dbgi_003478_01_01,Erinacea anthyllis,Erinacea,Fabaceae,70292,positive,Leaf,0,Mazzarine Laboureau,46.999805,6.9345107,2561658.5,1205540.4,2025-03-04T13:03:36.770Z
250403_ML_Metabo_DDA_sample_145_nr8.mzML,145,sample,dbgi_003736,dbgi_003736_01_01,Salvia sclarea,Salvia,Lamiaceae,38869,positive,Leaf,0,Mazzarine Laboureau,46.999596,6.933673,2561594.5,1205517.5,2025-03-04T13:03:39.300Z
250403_ML_Metabo_DDA_sample_146_nr8.mzML,146,sample,dbgi_003377,dbgi_003377_01_01,Juniperus thurifera,Juniperus,Cupressaceae,177241,positive,Leaf,0,Mazzarine Laboureau,46.999817,6.9346757,2561671,1205541.6,2025-03-04T13:03:35.145Z
250403_ML_Metabo_DDA_sample_147_nr8.mzML,147,sample,dbgi_003296,dbgi_003296_01_01,Alyssoides bulgarica,Alyssoides,Brassicaceae,457760,positive,Leaf,0,Mazzarine Laboureau,46.999947,6.93484,2561683.5,1205555.9,2025-03-04T13:03:32.690Z
250403_ML_Metabo_DDA_sample_148_nr8.mzML,148,sample,dbgi_003562,dbgi_003562_01_01,Ocimum americanus,Ocimum,Lamiaceae,39173,positive,Leaf,1,Mazzarine Laboureau,46.99974,6.934472,2561655.5,1205533.2,2025-03-04T13:03:44.553Z
250403_ML_Metabo_DDA_sample_149_nr8.mzML,149,sample,dbgi_001971,dbgi_001971_01_01,Silene vallesia,Silene,Caryophyllaceae,39920,positive,Leaf,0,Mazzarine Laboureau,47.000034,6.934813,2561681.5,1205565.6,2025-03-04T13:03:25.737Z
250403_ML_Metabo_DDA_sample_150_nr8.mzML,150,sample,dbgi_003340,dbgi_003340_02_01,Festuca valesiaca,Festuca,Poaceae,98753,positive,Leaf,0,Mazzarine Laboureau,46.999992,6.9346905,2561672.2,1205560.9,2025-03-04T13:03:29.006Z
250403_ML_Metabo_DDA_sample_151_nr8.mzML,151,sample,dbgi_003875,dbgi_003875_01_01,NA,NA,NA,NA,NA,Leaf,0,Mazzarine Laboureau,46.99966,6.933737,2561599.5,1205524.5,2025-03-04T13:03:39.769Z
